gene,Hillucens SD1,Hillucens SD2,Hillucens SD3
ABY21735,0.526714,0.383849,0.284222
ABE69190,9.73035,9.10553,6.26236
NP_649210,21.7545,28.7963,22.0114
NP_726062,0.767073,0.516376,2.21147
NP_610167,1.56026,1.62105,1.34774
NP_001286886,0.844845,0.979727,0.962295
NP_650063,53.3895,27.7057,62.5164
NP_648971,2.2187,2.82525,2.716
NP_608579,1.33703,1.67623,1.64405
NP_649973,8.22899,5.2031,8.37287
NP_648780,2.28589,2.39089,1.94817
NP_650565,7.01833,3.95,6.47168
NP_647887,2.14007,3.94637,2.73536
NP_524551,2.87983,2.98564,2.9978
NP_608836,0.60015,0.531911,0.722164
NP_523702,0.603946,0.564105,0.485547
NP_647636,1.84575,4.09686,2.08964
NP_001286321,456.807,842.974,535.129
NP_572273,3.33714,4.47037,3.7921
NP_649212,2.24735,2.18155,2.353
AAL28855,2.49029,2.6739,2.16576
NP_524485,4.00182,3.52911,3.02824
AAA28789,15.4035,8.53223,18.5551
NP_611051,4.29493,3.75079,5.24578
NP_610475,2.17568,2.23023,2.40577
NP_647931,0.216447,0.973991,0.378005
NP_001261537,0.740709,0.995387,1.16045
NP_001262255,4.10459,5.93601,4.42287
NP_001260255,1.89377,1.68755,1.61963
NP_001163585,2.57263,3.25277,3.39711
NP_569971,0.304129,0.519356,0.589961
CAK95974,2.39523,2.35538,2.29644
NP_001188848,6.72421,6.63946,5.8811
NP_722721,46.9875,34.5294,74.722
AAV59185,3.27596,0.449238,3.35689
NP_001261404,5.87377,6.65888,7.19764
NP_610604,29.0186,29.7975,26.6328
NP_001259531,241.854,426.228,196.879
NP_722922,0.192172,0.202941,0.165503
NP_001014589,1.11754,1.29424,1.208
NP_001284957,0,0.41109,0.132465
NP_001246805,3.74569,2.87012,3.67118
NP_730244,2.11421,2.37738,2.06178
AAM50288,6.79427,5.39935,4.95204
NP_651456,8.61031,6.48143,9.4016
NP_001188681,11.914,10.5028,9.02156
NP_611273,0.300505,0.526919,0.426974
NP_001014708,0.876451,2.00168,0.917099
NP_001246537,9.13198,11.171,13.7008
NP_610705,2.81931,2.711,3.04396
NP_001261020,0.317333,0.433938,0.309735
NP_649710,0.746468,0.673543,0.837408
AAL48038,29.0549,30.7249,31.5783
NP_001262845,9.5101,7.11425,12.9354
NP_001247371,3.16388,3.09441,3.65151
NP_649889,1.13264,0.901144,0.752964
ABY20522,6.16635,4.89639,5.47461
NP_001303424,0.849201,0.707506,0.556558
ACN94197,1.06283,0.854668,1.58343
NP_650442,2.09143,1.78318,1.89992
AET07646,40.3513,27.915,38.6726
NP_001014654,0,0.246102,0.112476
NP_649589,1.25858,1.58638,1.54614
NP_001137877,0.678049,0.998128,0.717379
AAL48182,1.65427,1.57543,1.76866
NP_608841,2.68818,2.89564,2.83548
NP_610454,7.45861,9.3433,9.63012
NP_001162901,202.407,153.341,183.814
NP_001245976,9.87491,14.0051,11.97
NP_001286743,2.96587,4.50839,6.38451
NP_650991,1.30717,0.546355,5.70501
AAO39618,0.699726,0.783669,0.686214
NP_001097173,0.43598,0.7889,0.477191
AAM51120,3.03986,1.44311,3.32633
NP_650131,0.277418,0.115686,0.255314
BAF96746,0.243858,0.333079,0.830562
NP_573024,6.9481,12.7985,5.02088
NP_650121,8.08537,3.10344,5.0484
NP_733074,1.21766,1.163,1.06752
NP_730465,1.12935,1.04308,1.22252
AAL13972,2.32155,1.74111,1.77786
NP_651223,3.11717,2.67822,2.50769
NP_732404,4.69019,4.97169,4.47543
AAO41419,1.43164,1.51821,1.75314
NP_001260900,0.193593,0.153636,0.320645
NP_477454,3.07327,2.38105,3.15872
AAX59004,1.78553,2.44669,1.89675
ADF28788,3.78386,4.76021,3.25722
AAK93410,1.86729,2.23925,2.70824
NP_649465,5.77198,8.10228,5.63791
NP_996330,0.326026,0.179153,0.223094
NP_001260098,39.4885,15.1211,36.7633
NP_477468,1.18426,1.51032,1.45924
AAM50015,10.5399,22.5955,9.70367
NP_523366,2.84758,2.64898,2.96675
NP_001163512,1.36014,1.04002,1.463
NP_001262722,0.791658,0.565488,0.253745
NP_001245759,1.14461,1.04409,0.622321
NP_728830,3.07482,0.270375,0.41167
NP_511096,21.8218,16.3093,23.1641
NP_659573,11.2177,19.7182,22.1432
NP_523767,86.6396,49.6901,71.5391
NP_650686,0.906492,0.856037,1.07275
NP_001246361,10.0704,8.82737,10.0935
NP_001163564,2.65881,3.89974,2.4405
NP_610718,1.91252,2.86237,2.94824
NP_001286827,2.67739,1.89313,2.82337
AAL90389,3.13012,2.30571,3.26633
NP_523450,0.389859,0.134262,0.33122
NP_477424,0.732935,0.612351,0.561776
NP_572475,2.67871,4.4679,3.02858
NP_001246637,48.3729,20.8043,51.3965
NP_001163143,0.891396,0.957978,0.57961
NP_001285891,2.44247,0.729216,1.36032
NP_651136,0.397708,0.382728,0.339828
NP_001261465,0.227658,0.295224,0.518929
NP_001246993,4.0595,3.86503,3.9027
NP_733336,0.628919,0.814243,0.667949
NP_730632,22.205,29.1068,19.916
AAN71357,1.27383,1.7148,1.16017
NP_648303,0.0554008,0,0
NP_001246747,15.8865,7.21586,12.7118
NP_001261383,46.8659,38.6295,39.9052
NP_476778,66.9181,69.7756,39.9474
AAA29000,459.654,466.26,495.373
NP_001286247,36.0226,95.7796,35.5913
NP_723510,23.07,16.7684,21.9983
NP_001036408,0.260893,0.158802,0.086126
NP_733407,6.68351,7.01979,9.82853
NP_001027110,0.497764,0,0.230261
NP_476905,3.28468,4.02767,4.16595
NP_651435,1.19111,1.50749,1.2471
NP_001034071,3.49271,2.65556,1.9149
NP_572536,2.64132,5.14275,3.51381
NP_001285717,2.67634,1.56884,2.86276
NP_648211,9.49117,8.08897,7.85281
NP_647679,3.69225,3.46826,3.8523
NP_610851,4.31226,4.82588,3.88841
NP_001286094,1.21927,1.17829,1.26514
NP_611335,1.43059,1.99849,1.2567
NP_477385,38.6349,71.5323,35.9621
NP_001163400,5.32459,5.47469,6.85361
NP_610348,8.81475,8.2583,8.18036
AEV12238,6.21973,5.92943,7.61563
AAR96139,3.76942,3.51077,3.535
NP_001285543,1.51391,1.1717,1.60105
NP_001259752,0.966983,0.744235,0.791316
NP_001259525,0.246238,0.145035,0.179247
NP_648417,3.87846,2.70008,4.09405
NP_001246669,0.778935,0.054849,0.124426
NP_001027578,7.78063,8.25621,10.9872
NP_001246465,31.6482,24.506,32.6578
NP_001261794,7.74938,9.49472,8.44479
NP_477310,15.9311,15.1887,14.2216
NP_511168,4.62461,7.13603,7.47977
NP_651887,5.29431,4.84825,4.65533
NP_001284872,1.6787,2.84426,1.79279
NP_001287107,6.72025,8.28365,5.89195
NP_572197,0.653721,0.688064,0.64342
NP_611049,2.78913,2.76617,2.53076
NP_001262519,3.20245,1.84454,3.84536
NP_001033941,1.53922,0.763012,1.26669
NP_001259262,0.63881,0.566829,0.611729
NP_611162,0.681433,0.601629,0.55185
NP_650253,11.2602,8.77273,10.6022
NP_609186,1.7394,1.55109,1.4561
6XU6_CB,261.367,309.564,332.886
NP_001245708,0.264472,0.128779,0.182225
NP_001097680,3.55174,3.63902,3.38777
NP_610341,0.179645,0.263655,0.137956
NP_001287386,38.7148,29.7888,33.2837
NP_651668,2.48586,2.27456,7.76756
NP_001303317,69.717,22.7758,71.2732
NP_730100,0.267085,0.209761,0.166749
O77438,1.74671,1.32713,1.2018
NP_001260580,1.98746,2.2203,1.79941
AAM11288,10.8634,11.4817,11.2125
NP_731500,2.50067,1.91038,2.46973
NP_524907,4.06314,3.95206,3.65323
AAC46879,3.1468,1.88126,3.25314
NP_001245823,16.3471,18.2597,11.3948
NP_525083,0.874295,0.266148,0.362739
AAD08705,1.42068,1.283,1.38517
NP_729234,11.5405,11.794,10.6488
NP_001286742,1.89389,2.2399,1.61483
NP_001285282,2.78905,0.697451,2.90452
NP_650693,1.24962,1.48369,1.64763
NP_611650,1.56794,1.23841,1.46559
NP_649579,34.7684,6.31834,52.6038
AAN04293,0.679001,0.711267,0.576987
ACV88437,8.37674,10.0125,10.5629
NP_001027263,4.1436,3.00191,3.73369
NP_651326,8.49141,4.25961,6.9744
NP_001261474,8.76574,11.7976,11.2633
NP_523364,3.06232,1.89498,2.23649
NP_001259982,7.30661,5.10763,7.13451
NP_608995,8.26872,9.3047,9.57681
NP_476578,2.03226,3.96704,2.42803
NP_611955,1.03674,1.22042,1.26638
NP_001189224,0.235893,0.217003,0.0992671
NP_722959,33.2552,58.952,31.0747
NP_001369019,6.23353,5.69435,6.31397
ACT88125,57.8665,51.3352,68.3183
NP_001189177,5.59532,5.89318,5.9377
NP_609655,0.812247,0.71202,0.543179
AAN71318,1.34665,1.45507,1.08078
NP_001303342,4.09472,3.32804,2.57224
NP_001262459,3.16869,4.56083,3.15586
NP_477098,1.13233,0.932988,1.85563
NP_524654,0,0.130702,0.0481228
NP_651251,0.651271,0.578997,0.751523
CAA40804,66.8182,42.6355,80.6904
NP_649789,3.06514,1.61095,2.99685
NP_729380,163.967,61.9552,254.903
NP_001261296,0.488815,0.4992,0.382286
NP_001263095,62.098,18.8889,36.2596
NP_524161,0.917579,0.810186,0.813746
NP_652007,1.43649,1.4562,1.71248
NP_001286508,8.32541,5.51646,8.26846
NP_001163717,1.46896,1.57225,1.48025
NP_524199,0.844121,1.50718,1.18109
NP_651243,0.987396,0.83543,0.96728
NP_723811,2.85706,2.35682,2.5198
NP_001246384,1.06485,1.13393,1.0447
NP_001137821,1.03696,0.979927,1.12058
NP_726071,0.548512,0.673597,0.901658
NP_649216,1.50654,0.386464,0.57608
NP_731849,3.09332,3.28313,2.98131
ACY40036,30.8194,21.7271,24.7603
NP_650111,4.29115,5.38829,3.7436
NP_001287227,1.42275,2.13995,1.7418
NP_001097695,13.6582,15.2111,11.771
NP_608574,2.4694,1.36969,1.68961
NP_569910,0.80039,0.65854,0.798197
NP_523770,0.218116,0.194826,0.0508251
NP_651455,10.0799,19.604,12.8474
NP_001138030,1.05889,0.688492,0.664069
NP_001097110,1.51081,0.604851,0.582998
NP_001245573,0.338102,0.267271,0.0602876
NP_001262285,1.70787,1.52414,1.59911
NP_609503,2.08168,2.33766,2.60082
NP_511055,43.9386,21.9134,47.7096
