Gene,L1 larvae1,L1 larvae2,L2 larvae1,L2 larvae2,"L3 larvae, 12 hr post-molt1","L3 larvae, 12 hr post-molt2","L3 larvae, dark blue gut PS(1-2)1","L3 larvae, dark blue gut PS(1-2)2","L3 larvae, light blue gut PS(3-6)1","L3 larvae, light blue gut PS(3-6)2","L3 larvae, clear gut PS (7-9)1","L3 larvae, clear gut PS (7-9)2"
CG11023,0.175076,0.177939,0.143141,0.135225,0.136693,0.138003,1.49386,1.393,4.55562,3.33724,4.55562,4.50641
l(2)gl,15.0129,14.8766,26.2014,26.0558,20.1612,20.0325,20.0105,20.1379,29.1505,29.081,29.1505,29.3291
dbr,3.1519,3.30192,5.37258,5.62504,3.19153,3.76803,4.7796,5.04476,12.0706,9.30739,12.0706,12.6897
galectin,19.2189,15.3657,18.275,15.2183,15.4263,17.8034,32.9771,27.893,42.3832,35.5274,42.3832,41.2988
CG11374,0.398595,0.40835,0.230614,0.239046,0.224004,0.204925,0.415758,0.434385,0.991397,0.801086,0.991397,0.964302
net,1.6333,1.16822,0.890954,0.679264,1.13862,0.862259,3.93154,2.85976,5.32027,4.73387,5.32027,4.03992
CG11376,4.28585,4.33781,4.38307,4.36501,4.00837,4.01301,4.61154,4.53604,16.1341,9.27899,16.1341,16.3195
CG11377,17.6334,17.656,37.0465,37.0781,20.034,20.3191,13.0279,13.0327,20.3391,16.6296,20.3391,20.3685
Nhe1,9.21518,9.02297,8.91972,8.87029,6.39457,6.24278,13.6305,13.2186,17.8712,15.6532,17.8712,17.5512
M(2)21AB,316.803,328.4,163.385,167.319,244.375,249.544,90.9177,94.5064,55.9916,77.2995,55.9916,62.0147
CG13694,3.07674,2.40775,3.87919,2.67803,8.37385,5.61857,5.68469,3.90288,1.88387,2.52649,1.88387,1.5076
CG4822,2.17908,2.58886,3.12826,3.78985,5.48465,6.02737,10.9075,12.8597,81.3274,46.2136,81.3274,89.0577
CG3164,87.5069,89.9355,93.8666,95.0086,69.8946,70.8578,83.6428,85.7381,139.163,113.799,139.163,143.011
Gs1,101.867,87.0411,153.081,131.678,185.632,159.066,176.773,151.487,590.472,351.436,590.472,508.166
CG31976,0.140528,0.158331,0.127659,0.126054,0.0589922,0.038593,0,0.116867,0.865782,0.421024,0.865782,0.852994
CG31975,7.82413,7.25866,11.7874,10.9,5.40094,5.01443,1.68487,1.48391,0.228925,0.53093,0.228925,0.976352
CG31974,53.2568,48.4563,85.259,78.1424,49.175,44.5808,14.1658,12.7046,5.34382,3.11366,5.34382,4.92402
CG11454,20.304,20.5679,17.3953,17.8355,15.0753,15.192,19.7564,20.0308,20.2444,20.3904,20.2444,20.6598
