official_name,BPM_rep1_WT,BPM_rep2_WT,BPM_rep3_WT
a,1560.303841,1190.976701,1083.73829
Argk,266.3933386,330.0296883,54.18691451
Bsg25D,1103.629546,2554.142805,1322.160714
cact,4389.147389,3802.515974,2806.882172
crc,735.7530305,100.4438182,466.0074648
cv-2,177.5955591,860.947013,1040.388759
CycA,152.2247649,0,65.02429741
dnc,799.1800159,387.4261559,205.9102751
Pka-C3,7788.833806,10345.71327,7065.973652
dpp,215.6517503,272.6332208,0
ed,1458.820664,1564.05374,899.5027809
egl,926.0339867,57.39646753,260.0971896
Eip74EF,2372.169254,1764.941377,1105.413056
for,25.37079416,0,151.7233606
ft,88.79777955,0,238.4224238
ftz-f1,380.5619123,0,10.8373829
fz,114.1685737,186.5385195,249.2598067
klar,177.5955591,258.2841039,195.0728922
crp,152.2247649,86.0947013,195.0728922
sas,380.5619123,530.9173247,726.1046544
robo2,63.42698539,516.5682078,54.18691451
mam,520.1012802,688.7576104,325.1214871
nkd,228.3371474,545.2664416,942.8523125
pk,634.2698539,903.9943637,834.4784835
pnt,38.05619123,100.4438182,411.8205503
Ppn,405.9327065,330.0296883,184.2355093
pum,875.2923984,1234.024052,758.6168031
put,0,14.34911688,32.51214871
pwn,596.2136627,1133.580234,552.706528
px,2701.989578,3357.693351,3576.336358
raw,393.2473094,832.2487792,552.706528
rl,659.6406481,473.5208572,531.0317622
rst,355.1911182,14.34911688,130.0485948
S,710.3822364,473.5208572,801.9663348
Scr,443.9888977,186.5385195,108.373829
Sh,279.0787357,114.7929351,184.2355093
so,482.045089,43.04735065,270.9345726
sr,393.2473094,129.142052,0
Btk29A,228.3371474,14.34911688,108.373829
ptc,38.05619123,0,119.2112119
vn,520.1012802,731.8049611,509.3569964
yrt,342.5057211,416.1243896,260.0971896
Tm2,63.42698539,272.6332208,184.2355093
Ser,329.820324,0,151.7233606
ct,190.2809562,301.3314546,335.95887
T48,418.6181036,401.7752727,140.8859777
Ptp4E,164.910162,0,108.373829
fwd,558.1574714,789.2014286,270.9345726
mew,228.3371474,330.0296883,162.5607435
zfh1,114.1685737,86.0947013,10.8373829
zfh2,837.2362072,559.6155585,292.6093384
retn,266.3933386,358.7279221,97.53644612
Ac76E,342.5057211,932.6925974,205.9102751
cdi,63.42698539,358.7279221,0
bowl,824.5508101,516.5682078,650.2429741
Mbs,1572.989238,1449.260805,1864.029859
ple,482.045089,416.1243896,0
faf,139.5393679,0,216.747658
Rox8,583.5282656,459.1717403,0
bt,38.05619123,114.7929351,205.9102751
dac,317.134927,487.869974,130.0485948
CanA1,355.1911182,0,195.0728922
Galphaf,12.68539708,0,140.8859777
Parp,697.6968393,1764.941377,1159.599971
hep,735.7530305,961.3908312,1332.998097
CycE,241.0225445,373.077039,0
Cyp18a1,875.2923984,530.9173247,563.5439109
cora,253.7079416,889.6452468,552.706528
l(2)01289,837.2362072,1090.532883,1192.112119
simj,241.0225445,0,32.51214871
Gug,1167.056531,1477.959039,400.9831674
bol,596.2136627,2310.207818,1213.786885
heph,0,215.2367533,216.747658
Elk,139.5393679,760.5031948,54.18691451
fng,25.37079416,0,108.373829
Mef2,202.9663533,71.74558442,0
msi,12.68539708,229.5858701,0
wts,126.8539708,28.69823377,10.8373829
PhKgamma,329.820324,71.74558442,422.6579332
Pxn,317.134927,444.8226234,0
mtd,697.6968393,172.1894026,953.6896954
nuf,989.4609721,1320.118753,1029.551376
CASK,126.8539708,0,32.51214871
MAPk-Ak2,913.3485896,358.7279221,1473.884075
Tie,50.74158831,286.9823377,173.3981264
bnl,76.11238247,57.39646753,140.8859777
cher,0,14.34911688,21.6747658
mirr,114.1685737,344.3788052,0
mbc,25.37079416,0,281.7719555
RtGEF,1649.10162,2826.776026,1972.403688
ara,50.74158831,28.69823377,162.5607435
caup,152.2247649,43.04735065,0
wun,799.1800159,344.3788052,281.7719555
CaMKI,329.820324,344.3788052,10.8373829
Dyrk2,177.5955591,272.6332208,140.8859777
sfl,101.4831766,0,238.4224238
mspo,367.8765153,674.4084935,195.0728922
loco,139.5393679,14.34911688,314.2841042
stumps,152.2247649,86.0947013,314.2841042
dve,228.3371474,129.142052,0
Rfx,0,28.69823377,162.5607435
Pdk1,2029.663533,1635.799325,1896.542008
JIL-1,50.74158831,14.34911688,75.86168031
E23,202.9663533,57.39646753,0
Dad,1382.708282,703.1067273,801.9663348
pio,291.7641328,975.7399481,195.0728922
RN-tre,279.0787357,344.3788052,86.69906322
KrT95D,279.0787357,401.7752727,292.6093384
Atet,3640.708961,1635.799325,1929.054157
Spred,114.1685737,114.7929351,0
RpL3,50.74158831,157.8402857,357.6336358
Cad96Ca,139.5393679,0,43.34953161
RhoGEF2,2701.989578,2927.219844,2254.175644
vig,76.11238247,0,65.02429741
