gene,Hillucens SD1,Hillucens SD2,Hillucens SD3
NP_649210,21.7545,28.7963,22.0114
NP_650063,53.3895,27.7057,62.5164
NP_001286321,456.807,842.974,535.129
NP_722721,46.9875,34.5294,74.722
NP_610604,29.0186,29.7975,26.6328
NP_001259531,241.854,426.228,196.879
AAL48038,29.0549,30.7249,31.5783
AET07646,40.3513,27.915,38.6726
NP_001162901,202.407,153.341,183.814
NP_001260098,39.4885,15.1211,36.7633
NP_511096,21.8218,16.3093,23.1641
NP_659573,11.2177,19.7182,22.1432
NP_523767,86.6396,49.6901,71.5391
NP_001246637,48.3729,20.8043,51.3965
NP_730632,22.205,29.1068,19.916
NP_001261383,46.8659,38.6295,39.9052
NP_476778,66.9181,69.7756,39.9474
AAA29000,459.654,466.26,495.373
NP_001286247,36.0226,95.7796,35.5913
NP_723510,23.07,16.7684,21.9983
NP_477385,38.6349,71.5323,35.9621
NP_001246465,31.6482,24.506,32.6578
NP_477310,15.9311,15.1887,14.2216
6XU6_CB,261.367,309.564,332.886
NP_001287386,38.7148,29.7888,33.2837
NP_001303317,69.717,22.7758,71.2732
AAM11288,10.8634,11.4817,11.2125
NP_001245823,16.3471,18.2597,11.3948
NP_729234,11.5405,11.794,10.6488
NP_722959,33.2552,58.952,31.0747
ACT88125,57.8665,51.3352,68.3183
CAA40804,66.8182,42.6355,80.6904
NP_729380,163.967,61.9552,254.903
NP_001263095,62.098,18.8889,36.2596
ACY40036,30.8194,21.7271,24.7603
NP_001097695,13.6582,15.2111,11.771
NP_651455,10.0799,19.604,12.8474
NP_511055,43.9386,21.9134,47.7096
AAA28509,16.0909,14.4653,16.1775
NP_001246877,42.5157,15.952,49.5622
NP_611175,17.8951,15.8478,17.6509
NP_523830,16.5455,26.1377,16.0659
NP_651400,25.7975,20.6415,18.4368
AEB39622,42.1386,17.957,42.5001
NP_649785,37.7751,47.8629,44.4833
NP_001246778,25.632,15.6951,19.689
NP_001285404,124.009,77.3999,121.674
NP_001285979,16.9982,12.0258,11.866
NP_647775,23.6914,13.8106,24.3207
NP_726358,10.3813,12.7398,11.0002
NP_608375,73.7185,28.9485,57.4003
NP_477332,17.3792,38.4484,15.3581
NP_001137999,71.6623,20.1797,47.2551
NP_726775,10.2931,12.2337,10.7032
NP_001096945,13.2786,21.4923,21.9831
NP_524463,35.5777,67.8034,32.5943
NP_608531,40.951,55.8553,41.4218
NP_001259537,12.7134,21.6896,16.8534
NP_651885,16.5873,15.7658,15.4463
NP_001286053,48.8887,23.6699,14.1402
NP_001036276,117.281,40.7524,37.6824
NP_730669,18.7026,15.5973,18.5247
NP_001163784,16.0547,12.0321,15.05
NP_609151,17.7208,23.3487,21.3552
NP_652032,24.8226,28.885,23.0637
NP_001014515,36.5299,44.7035,37.1084
NP_536731,74.9587,49.7567,74.6936
BAA34397,15.5019,21.9133,19.1431
NP_649069,31.2848,40.3041,35.3402
ABG02147,46.8267,31.638,43.8119
NP_573128,17.7972,18.1312,17.1725
NP_001286142,97.8952,74.8488,73.4025
NP_572320,13.595,17.2637,16.8641
NP_001260128,32.833,19.8498,22.8759
NP_652145,45.8179,30.1669,81.1579
NP_001162682,21.036,15.8139,11.5245
NP_524938,12.1512,10.4735,13.0812
ABV69001,37.4592,54.7129,53.1804
NP_609299,80.3594,34.3991,57.5155
NP_477378,72.3431,28.736,55.4826
NP_788518,10.3854,12.813,14.0144
NP_001262294,19.824,15.8673,19.0617
ACX30015,1288.78,4490.81,1671.1
NP_648553,29.1396,47.5721,27.8307
NP_610470,116.902,108.232,132.273
NP_001188958,30.9178,17.2313,19.2332
NP_726025,17.8327,17.2745,20.7116
NP_648904,14.6043,12.7242,11.5311
NP_725103,109.261,158.11,132.163
NP_001163479,81.4184,56.3412,86.5111
NP_609305,27.9685,56.1252,26.9543
NP_001260510,87.8148,80.916,91.2586
NP_001262996,20.58,20.8813,12.9058
NP_730171,18.3142,45.8471,19.3225
NP_648776,11.9927,13.5257,11.8574
NP_001259998,16.0874,12.0036,12.8948
NP_573076,24.2731,22.7468,21.4714
NP_001259742,60.0533,47.0197,53.19
NP_001285398,24.0364,19.0051,27.3576
NP_647865,16.1105,10.5345,12.1116
NP_001260930,34.2508,45.346,36.5142
NP_001287413,10.434,10.1829,11.0511
NP_001285915,350.758,284.811,483.7
NP_610111,147.532,138.295,119.674
AFY04291,15.3378,11.5487,13.3154
NP_523528,207.357,58.8751,121.858
AAM11013,16.8314,16.6053,19.3096
NP_650055,15.8642,22.9864,15.4416
NP_649258,11.7989,12.564,11.2203
NP_001262259,27.9188,59.1944,21.6303
AAR82755,21.5803,12.5896,23.8202
NP_524836,16.2489,12.6625,16.5178
NP_001137769,15.2755,12.2391,12.6925
NP_001286545,32.3884,54.078,29.9632
NP_001246231,24.131,10.459,19.8542
NP_001097437,13.0104,13.4297,11.649
NP_651582,15.0317,25.4077,19.0955
NP_648918,111.816,57.3017,149.704
NP_651781,16.0654,22.6736,24.9559
NP_649470,10.0478,22.8379,12.7939
NP_476667,126.484,188.912,148.363
NP_650501,178.213,97.0443,180.823
NP_609397,24.4678,15.508,18.0785
NP_001287214,13.4268,16.7334,13.2438
NP_609058,13.8689,11.9488,12.6735
NP_523400,12.2112,12.0243,12.4721
NP_477153,315.421,1140.45,527.78
NP_477159,37.9934,34.8206,40.1288
NP_001287182,61.8499,56.519,60.9633
ACV44467,23.2547,28.4136,28.3423
NP_001246899,20.9433,17.3274,39.6435
NP_001286919,11.0081,15.8594,14.7308
NP_001245928,29.4912,29.6237,25.9376
NP_001096993,12.1335,13.5852,12.0081
NP_523398,15.8146,26.4315,13.0693
NP_001284754,47.3853,49.7926,41.3267
NP_725591,682.471,731.124,697.781
NP_001259146,50.891,40.7155,49.0005
NP_001033891,367.952,464.435,401.199
NP_001285059,464.813,518.115,447.173
NP_477314,337.96,352.043,347.602
NP_001247301,616.738,573.556,620.11
NP_001260689,423.307,421.382,401.914
NP_001284961,428.26,459.749,408.424
NP_001262966,757.27,749.317,741.692
NP_477203,604.416,570.824,633.507
NP_001285737,572.173,578.72,539.896
NP_001262556,37.8512,35.4451,42.0394
NP_001189124,35.0433,16.3265,33.267
NP_001260732,39.7319,40.0106,30.4143
NP_001285794,376.417,420.086,381.459
NP_001284995,487.445,469.439,478.783
