Gene,L1 larvae01,L1 larvae02,L2 larvae01,L2 larvae02,"L3 larvae, 12 hr post-molt01","L3 larvae, 12 hr post-molt02","L3 larvae, dark blue gut PS(1-2)01","L3 larvae, dark blue gut PS(1-2)02","L3 larvae, light blue gut PS(3-6)01","L3 larvae, light blue gut PS(3-6)02","L3 larvae, clear gut PS (7-9)01","L3 larvae, clear gut PS (7-9)02"
l(2)gl,15.0129,14.8766,26.2014,26.0558,20.1612,20.0325,20.0105,20.1379,29.0499,29.081,29.1505,29.3291
galectin,19.2189,15.3657,18.275,15.2183,15.4263,17.8034,32.9771,27.893,41.0998,35.5274,42.3832,41.2988
CG11377,17.6334,17.656,37.0465,37.0781,20.034,20.3191,13.0279,13.0327,16.6065,16.6296,20.3391,20.3685
M(2)21AB,316.803,328.4,163.385,167.319,244.375,249.544,90.9177,94.5064,74.7279,77.2995,55.9916,62.0147
CG3164,87.5069,89.9355,93.8666,95.0086,69.8946,70.8578,83.6428,85.7381,109.692,113.799,139.163,143.011
Gs1,101.867,87.0411,153.081,131.678,185.632,159.066,176.773,151.487,411.118,351.436,590.472,508.166
CG11454,20.304,20.5679,17.3953,17.8355,15.0753,15.192,19.7564,20.0308,20.4073,20.3904,20.2444,20.6598
CG11455,193.342,217.181,226.018,240.523,180.043,204.702,124.103,138.326,80.2523,90.0139,90.2382,101.782
CG3436,19.9343,17.0774,19.6606,18.329,20.7053,16.1244,17.8066,17.6844,19.1131,20.8183,26.6675,30.1716
mRpL10,49.5194,54.6553,62.8854,69.4173,46.2947,51.0159,20.7048,22.7412,15.5153,17.1091,17.7151,19.5714
kis,18.5427,17.9155,18.7006,18.0594,14.3005,14.2924,11.5436,11.1755,35.7997,34.3905,46.0588,45.0843
CG3625,55.2168,56.4621,64.7797,66.1144,64.6455,65.7519,77.6942,79.4886,53.9875,55.0183,55.4805,55.8198
CG11562,14.2163,17.2861,24.6731,29.4461,20.6588,24.6425,13.0506,15.9603,17.2003,21.1018,19.5757,23.791
U2af38,27.1894,29.4004,21.751,23.4963,16.1464,17.4634,18.0354,19.4871,24.3014,26.2742,29.9758,32.3726
Hop,75.789,80.1837,69.0846,73.2677,53.5703,56.7657,39.9474,42.3569,65.5122,69.5574,101.8,107.54
CG11912,19.4664,19.4664,40.6328,40.6328,44.086,44.086,730.954,730.954,1110.1,1110.1,1463.54,1463.54
CG11911,199.223,199.223,200.267,200.267,70.7246,70.7246,793.038,793.038,233.954,233.954,60.373,60.373
Ent1,12.4747,13.245,11.1385,11.8367,12.7477,13.1676,29.1327,29.9251,41.1586,42.2789,53.7721,54.9214
alpha-Adaptin,21.454,21.4962,21.6361,21.6809,15.9008,15.9483,18.9062,18.9427,31.4431,31.4839,39.8636,39.9199
ebi,16.9346,17.5907,14.7782,15.3552,10.4082,10.8141,12.7016,13.1839,18.9823,19.7097,21.891,22.7405
RpLP1,2871.46,3530.82,2544.74,3128.91,1989.03,2445.29,1820.87,2239.21,1719.36,2114.35,1781.04,2190.2
CG11885,25.1299,25.1299,23.776,23.776,13.9482,13.9482,21.6166,21.6166,37.9986,37.9986,53.5407,53.5407
crq,10.9476,10.5199,14.7616,14.2125,15.8651,15.5412,33.1543,32.4297,46.5766,45.9754,70.1227,69.778
CG4164,30.3082,31.0754,62.189,63.6423,39.3562,40.3351,24.5649,25.1802,29.7667,30.5276,33.6649,34.5143
cbt,21.5368,25.3044,20.4365,23.9684,16.7309,19.6174,16.0426,18.8526,27.1437,31.8768,46.3795,54.4488
lwr,76.0412,78.5863,76.9704,79.5831,60.7269,59.3494,73.5634,76.3025,95.1537,99.196,112.804,116.645
Spp,95.7926,103.242,186.507,201.096,129.3,139.724,83.0406,88.8407,75.276,80.4668,76.6982,81.5457
CG2789,59.8969,65.637,74.2993,79.7713,112.428,124.855,149.57,161.402,112.757,121.563,98.6769,106.77
CG2807,17.0084,18.1054,15.014,15.9579,13.0647,13.879,12.4887,13.3077,16.8316,17.9674,18.2388,19.2482
CG2813,21.769,22.1362,17.094,17.364,13.5532,13.7466,18.4858,18.7704,26.6208,26.8143,52.4914,51.2569
CG3662,105.511,113.168,59.547,64.3779,62.6894,67.995,153.923,165.564,199.171,213.77,173.879,187.585
drongo,18.4274,20.6388,22.6649,23.755,24.5303,27.1334,30.4686,31.0865,65.3862,66.9004,105.06,108.013
kraken,80.9699,93.3367,70.5688,81.3613,45.1458,51.9181,28.8928,33.2982,23.5723,27.1779,20.8231,23.9689
aru,27.7616,27.8143,20.1091,20.1924,19.2373,19.3915,13.7692,13.8869,15.6857,15.7535,14.3358,14.4478
dbe,49.8142,49.8142,25.6579,25.6579,14.8351,14.8351,10.4821,10.4821,12.4258,12.4258,15.5553,15.5553
PNUTS,35.2999,35.185,26.6068,26.4901,27.7203,27.7032,33.8361,34.2661,40.9317,41.37,47.3456,47.9942
Atg4,13.479,13.6198,15.9227,16.1295,14.3057,14.7037,28.3437,29.0957,44.3206,45.0321,61.1342,62.1074
Pino,42.8336,45.0913,45.843,48.204,50.9644,53.6046,40.7925,42.9108,65.5474,68.9936,152.196,160.091
CG4552,16.9826,17.0497,17.3476,17.4162,13.866,13.9207,17.2317,17.3001,22.226,22.314,23.6822,23.7757
CG4726,181.341,195.783,137.294,147.586,102.152,109.846,103.754,111.451,55.1999,59.2811,33.4358,35.8627
CG4764,24.7773,24.784,28.7355,28.7733,23.0428,23.0558,23.793,23.8237,30.2571,30.2775,35.3943,35.4239
capt,89.8163,88.2153,98.4967,97.4125,113.648,113.246,110.888,110.112,145.156,143.327,150.384,148.254
Tango14,55.0911,60.0121,43.7431,47.8325,34.7141,37.862,20.607,22.2773,19.6046,21.4288,16.7032,18.6823
CG5080,16.9069,17.5834,24.5758,25.6695,30.5722,31.5438,23.3118,23.9592,19.6744,20.3194,13.7837,14.0887
Plap,17.1274,17.291,25.3271,25.5318,25.0328,25.2711,23.0384,23.2467,41.8516,42.2217,47.2451,47.5687
CG4887,16.1379,16.8616,11.3842,11.8861,10.0211,10.4831,11.2392,11.7302,17.4541,18.2398,18.4736,19.2456
CG5126,10.5055,11.0213,15.5118,16.3334,11.8071,12.3026,15.8405,16.32,16.3679,17.0686,18.9961,19.3712
CG5001,46.7433,46.1788,47.8713,47.8697,57.5995,58.5494,47.0509,47.0205,32.1236,32.3451,54.8493,54.9187
CG5011,88.6795,88.6795,32.6842,32.6842,56.8682,56.8682,92.5419,92.5419,100.099,100.099,46.2366,46.2366
CG33128,514.268,513.516,399.314,398.764,417.477,416.921,663.465,662.568,635.528,634.599,322.281,321.823
RFeSP,410.429,498.731,383.292,464.372,362.403,438.32,182.376,220.252,100.929,122.181,66.0696,79.2417
cpb,27.6408,28.3491,43.943,45.4036,31.7175,32.3987,45.4685,46.8202,61.7173,63.7982,75.2459,77.854
CG17660,27.8651,27.6863,24.4668,24.5334,22.6383,23.1879,27.948,28.0491,31.6979,31.5732,34.1962,34.7492
mRpL48,77.1739,78.6867,89.8313,91.0424,59.8796,60.6158,15.9762,16.5487,15.0971,15.7552,17.8102,18.8389
CG18317,15.9902,16.3751,11.7725,11.6676,13.721,13.7357,13.817,13.7674,18.935,19.0127,27.6166,27.0615
Eno,1091.11,1108.84,1268.34,1289.02,1401.28,1429.08,970.046,986.25,508.768,518.759,217.501,221.694
CG31937,45.0094,44.9295,64.0359,63.9223,73.2517,73.1217,55.7624,55.6634,32.4468,32.3892,26.408,26.3612
CG10908,40.3847,49.1802,56.9114,69.1772,49.1404,59.5832,35.0635,42.2928,48.337,58.2654,54.878,65.6979
CG7289,17.4916,17.8659,19.0815,19.4806,16.1078,16.3429,14.8403,15.1519,18.9647,19.3464,22.6859,23.1472
Got2,369.494,379.938,323.579,334.007,457.408,474.502,234.357,243.753,140.185,145.294,93.1957,95.7816
Nplp4,515.645,562.801,47.1287,46.37,760.572,687.613,453.872,436.963,144.853,164.036,64.0145,60.1185
Su(dx),21.0755,20.6736,21.1832,20.5033,15.6496,15.2589,13.2389,12.9024,17.6707,17.2588,24.09,23.5361
GlyP,546.124,596.314,600.008,653.031,542.747,591.765,438.684,478.04,282.365,307.816,81.93,89.1779
tho2,12.4471,12.4031,13.2917,13.2176,11.6381,11.5461,11.6896,11.5905,17.8245,17.7491,18.8883,18.7982
Uch,12.8861,12.3445,45.5864,43.7744,37.7311,36.3867,93.4986,89.689,163.731,156.645,249.844,237.502
CG7082,30.0146,29.9992,16.6713,16.7299,24.5268,24.2974,25.0893,25.1882,20.7003,20.7887,18.8633,19.0442
l(2)s5379,43.5423,43.5902,57.7071,57.9059,44.2451,44.1845,47.2199,48.9722,67.1339,67.4124,88.1966,88.9266
CG10882,38.0362,42.248,62.507,69.1909,42.1319,46.553,26.8036,29.6578,37.042,41.0102,35.147,38.6212
CG4267,21.1126,21.2232,10.2246,10.6057,25.8787,26.6503,28.2464,28.5249,32.6231,32.7189,38.7692,39.0174
Rab5,52.4735,55.1961,62.0962,63.9382,48.1821,50.3367,73.8412,75.6229,124.761,129.966,199.99,204.338
CG3609,469.755,557.935,392.331,476.22,384.972,465.962,67.3698,79.6108,35.372,42.6698,23.7539,27.5109
Slh,24.7228,24.5964,34.9742,35.3126,25.1209,25.1758,18.4861,18.5097,22.7546,22.6113,25.9946,25.8585
Cyp309a1,18.8171,20.5877,16.1388,17.5302,21.9172,23.5925,15.7703,17.0854,38.3758,41.905,72.1526,78.1033
CG3214,173.654,215.949,163.013,202.674,161.585,200.442,112.019,139.098,61.7291,76.7141,52.6309,65.1122
p16-ARC,38.1982,51.7718,41.318,55.6609,29.5961,39.913,46.2299,62.4902,51.9139,70.7608,58.2696,77.9306
Drp1,36.8184,34.5848,41.1341,38.7379,38.4783,36.6213,27.4281,26.7334,36.956,35.6884,41.528,38.4112
Hrs,13.7711,13.7077,12.6768,12.5471,13.3663,13.2656,23.5269,23.3861,65.4081,64.3985,112.836,111.444
Pgk,325.583,393.111,326.891,394.623,319.525,385.202,228.145,275.028,151.021,181.376,89.9393,108.178
CG9894,126.342,157.596,137.604,166.742,94.2033,115.382,114.359,139.662,175.225,211.322,165.491,192.384
Taf10b,23.8136,23.8954,23.2085,23.3081,21.0104,21.0415,26.8984,26.9076,35.0659,35.0735,40.9046,41.2631
Taf10,28.3942,28.9372,26.0833,26.4426,21.4742,22.2494,30.126,31.4762,37.2229,39.1598,42.457,44.0942
colt,63.9798,64.6127,103.239,103.957,118.18,118.512,58.4144,58.7564,34.7964,35.1298,31.269,31.6826
CG2862,81.3721,86.5955,137.092,145.648,130.71,138.23,118.429,125.735,105.672,112.526,100.087,106.21
oho23B,2695.15,3066.95,2202.34,2479.42,1784.76,2054.53,1670.67,1878.31,1444.5,1649.89,1542.88,1742.51
CG2991,19.6613,18.7033,14.9504,14.4579,17.806,17.2511,17.6702,17.1174,22.0609,21.4042,30.5334,30.0692
CG31694,49.5714,52.5291,45.5201,48.2093,40.3791,42.7731,47.6124,50.4326,64.1445,67.9496,93.6348,99.1586
CG8814,17.1749,17.8897,20.419,21.2371,18.8583,19.6406,34.4364,35.8755,29.0618,30.2814,25.653,26.7281
Prx6005,10.5316,11.1877,20.7497,21.6223,13.886,14.4272,13.302,14.0084,11.5265,12.1898,15.1923,15.9706
CG31950,19.2196,18.2584,26.1972,26.1402,19.5439,17.3148,18.6515,19.4344,23.0287,22.4872,23.417,21.7349
betaggt-II,29.2784,30.7998,26.0505,27.3731,18.6005,19.5606,14.4482,15.1907,15.3356,16.1078,15.1012,15.8983
NTPase,79.761,76.4457,101.273,99.0918,73.6685,71.8311,60.9477,59.4783,44.1531,41.276,39.3882,39.3513
Rbp9,18.1755,16.3103,12.8175,11.6406,29.7615,27.3204,29.4,26.851,33.4899,30.8743,26.382,24.6156
CG9643,30.2266,30.2361,22.3483,22.3564,14.6743,14.6808,11.5144,11.5257,12.5422,12.5422,14.9851,15.0402
Chd1,20.7682,21.4762,13.8084,14.3038,13.0698,13.4403,10.0761,10.3693,15.3518,15.6713,15.973,16.1356
CG3558,26.0187,24.6188,21.7955,20.9826,19.8871,19.0952,20.7751,19.8996,32.7944,31.4381,31.3134,30.1853
CG3605,20.8227,21.171,19.4285,19.741,15.2492,15.5128,16.402,16.6652,21.0648,21.4199,25.3452,25.7691
CG17259,136.777,136.671,149.796,149.857,109.457,109.409,59.0617,59.0529,65.7629,65.744,62.8507,62.8954
CG12400,127.613,202.164,159.252,255.01,143.629,228.279,79.9927,127.883,44.4882,71.3163,39.1256,61.2282
Mad,11.0487,11.9719,10.2291,10.9552,11.6821,12.6316,13.1439,14.1971,25.7209,27.7085,30.7232,32.998
