Gene,L1 larvae,L2 larvae,"L3 larvae, 12 hr post-molt","L3 larvae, dark blue gut PS(1-2)","L3 larvae, light blue gut PS(3-6)","L3 larvae, clear gut PS (7-9)"
l(2)gl,15.0129,26.2014,20.1612,20.0105,29.0499,29.1505
dbr,3.1519,5.37258,3.19153,4.7796,8.84339,12.0706
galectin,19.2189,18.275,15.4263,32.9771,41.0998,42.3832
CG11376,4.28585,4.38307,4.00837,4.61154,9.43521,16.1341
CG11377,17.6334,37.0465,20.034,13.0279,16.6065,20.3391
Nhe1,9.21518,8.91972,6.39457,13.6305,15.9112,17.8712
M(2)21AB,316.803,163.385,244.375,90.9177,74.7279,55.9916
CG4822,2.17908,3.12826,5.48465,10.9075,42.2372,81.3274
CG3164,87.5069,93.8666,69.8946,83.6428,109.692,139.163
Gs1,101.867,153.081,185.632,176.773,411.118,590.472
CG31975,7.82413,11.7874,5.40094,1.68487,0.173707,0.228925
CG31974,53.2568,85.259,49.175,14.1658,3.25991,5.34382
CG11454,20.304,17.3953,15.0753,19.7564,20.4073,20.2444
CG11455,193.342,226.018,180.043,124.103,80.2523,90.2382
CG3436,19.9343,19.6606,20.7053,17.8066,19.1131,26.6675
spen,14.3186,14.7102,12.0668,3.87014,14.6908,27.1013
mRpL10,49.5194,62.8854,46.2947,20.7048,15.5153,17.7151
CG11490,4.63556,4.6728,4.35512,6.40544,10.6297,14.8729
kis,18.5427,18.7006,14.3005,11.5436,35.7997,46.0588
CG3645,17.6621,13.7217,10.8504,5.58096,7.56222,8.13204
CG3345,0,0,0,4.54048,9.81103,13.38
mbm,28.2571,12.7214,7.56983,4.89389,5.57457,5.98882
CG11555,24.2102,21.5379,13.6834,8.86701,8.90209,11.8758
CG17078,8.11532,7.19687,5.73946,8.32034,12.7948,17.2733
smo,3.48298,2.87119,3.12998,4.40861,7.34301,10.4101
CG11601,15.2116,15.1436,11.04,7.69398,7.70566,12.0084
CG3625,55.2168,64.7797,64.6455,77.6942,53.9875,55.4805
CG11562,14.2163,24.6731,20.6588,13.0506,17.2003,19.5757
U2af38,27.1894,21.751,16.1464,18.0354,24.3014,29.9758
