gene	bait	correlation
NP_723510	NP_001286321	-0.9994411752982009
NP_651455	NP_001286321	0.9956507336910136
NP_611175	NP_001286321	-0.996505597223048
NP_726358	NP_001286321	0.9980281491639091
NP_726775	NP_001286321	0.9999611485069849
NP_649470	NP_001286321	0.9999239823111306
NP_477153	NP_001286321	0.9983513590824848
NP_001287182	NP_001286321	-0.9993076675029552
NP_610610	NP_001286321	-0.9972406155581989
NP_649560	NP_001286321	0.9997726383734286
NP_610503	NP_001286321	-0.9994598623328406
NP_609222	NP_001286321	-0.9998139914137627
NP_610057	NP_001286321	-0.9997415564243605
NP_649139	NP_001286321	-0.9965584665619288
NP_732486	NP_001286321	-0.9977877400440235
NP_523444	NP_001286321	-0.9976429694641323
NP_610676	NP_001286321	-0.9996782923812451
NP_572573	NP_001286321	0.9999634930163734
NP_573098	NP_001286321	-0.9999999744021574
NP_476778	NP_001259822	-0.9999797833995973
NP_726025	NP_001259822	0.9974565439851062
NP_001262996	NP_001259822	-0.9988850980882436
NP_001285737	NP_001259822	-0.9969909305439567
NP_001260732	NP_001259822	-0.9984855145527058
NP_001285145	NP_001259822	0.9999352640115616
NP_611539	NP_001259822	0.9999947074644998
NP_001259970	NP_001259822	0.9993394643987497
NP_477210	NP_001259822	0.9997953842328142
NP_649210	AAN71367	0.9994244493139934
NP_001260098	AAN71367	-0.9945976244276196
NP_001246637	AAN71367	-0.9961267479203831
NP_001286247	AAN71367	0.9999900144117785
NP_477385	AAN71367	0.9978390532469623
NP_001303317	AAN71367	-0.9996495365493228
NP_722959	AAN71367	0.9976465702766917
NP_523830	AAN71367	0.9991816035080505
AEB39622	AAN71367	-0.9999384992285458
NP_001285404	AAN71367	-0.9989315754984132
NP_647775	AAN71367	-0.9986667311233126
NP_477332	AAN71367	0.9970101142778586
NP_524463	AAN71367	0.9972097953304351
NP_608531	AAN71367	0.9995635147145921
NP_730669	AAN71367	-0.9986068412315064
NP_001014515	AAN71367	0.9978741341208468
NP_536731	AAN71367	-0.9999404127831815
NP_648553	AAN71367	0.9983439115691162
NP_609305	AAN71367	0.9995831885757872
NP_730171	AAN71367	0.9994201938659549
NP_648776	AAN71367	0.9974582291138087
NP_650055	AAN71367	0.9988431748579345
NP_524836	AAN71367	-0.9981555502166121
NP_001286545	AAN71367	0.9959803895566246
NP_650501	AAN71367	-0.9996712965207418
NP_001287214	AAN71367	0.9989945995143564
NP_001096993	AAN71367	0.997562902212371
NP_001247301	AAN71367	-0.9980013780102962
NP_001189124	AAN71367	-0.9961454598509454
NP_001246139	AAN71367	0.9982474626374019
NP_524002	AAN71367	0.9978685365512768
NP_001286614	AAN71367	-0.994623140654106
NP_001247264	AAN71367	-0.9990485108830103
NP_524726	AAN71367	0.9973125762440537
NP_524421	AAN71367	-0.9973989535784172
NP_001303431	AAN71367	0.9996805065780803
NP_476985	AAN71367	-0.9998376165174582
NP_648409	AAN71367	-0.9986787038060497
ABG02165	AAN71367	-0.999101196321162
NP_001262647	AAN71367	0.9994926142291676
NP_001247382	AAN71367	-0.998209330536853
NP_477101	AAN71367	-0.9999544303761327
NP_001285259	AAN71367	-0.998187663250968
NP_001285378	AAN71367	-0.9997912606454334
NP_648848	AAN71367	0.9990736810799433
NP_001285613	AAN71367	-0.9981081552782964
NP_650643	AAN71367	0.997672113307457
NP_609444	AAN71367	-0.9970144964962732
NP_001162693	AAN71367	-0.9997929208788041
NP_001033899	AAN71367	-0.9950332744979751
NP_001261955	AAN71367	-0.9999408624574797
NP_001261994	AAN71367	0.9958319148027197
NP_611228	AAN71367	0.99897456480841
NP_524358	AAN71367	-0.998805972953273
NP_524043	AAN71367	-0.9982250318641429
NP_609037	AAN71367	-0.9976860686338853
NP_001261742	AAN71367	-0.9998212519149446
NP_001163296	AAN71367	-0.9982472792833571
NP_001245509	AAN71367	-0.9951256482378069
NP_001286300	AAN71367	0.9993778032427587
NP_477034	AAN71367	0.9999159389610368
NP_001285058	AAN71367	-0.9994809936385097
CAL26784	AAN71367	-0.9964558862829151
NP_001285124	AAN71367	-0.9943751798656377
NP_649439	AAN71367	0.9964639360510401
NP_523478	AAN71367	0.9999888035158396
NP_524834	AAN71367	0.9990987589065156
NP_524103	AAN71367	-0.9957507554529058
NP_524776	AAN71367	-0.9999156749228604
