gene	bait	correlation
ABE69190	AAO41419	-0.9956417280539225
NP_523702	AAO41419	-0.9972797001629689
NP_610475	AAO41419	0.999409322239831
CAK95974	AAO41419	-0.9888798684192769
BAF96746	AAO41419	0.9926109854131657
NP_733074	AAO41419	-0.994526297049664
NP_001245759	AAO41419	-0.9967335524774247
NP_651136	AAO41419	-0.9999368211910271
NP_001261465	AAO41419	0.9992093610019481
NP_001027578	AAO41419	0.9921514797740185
NP_524907	AAO41419	-0.9999982842853745
NP_001189224	AAO41419	-0.990861610833578
NP_609655	AAO41419	-0.9934863589867147
NP_726071	AAO41419	0.9956238552875298
NP_523770	AAO41419	-0.990988238614192
NP_001245573	AAO41419	-0.9998819549537935
NP_477394	AAO41419	-0.9981050334200884
NP_648990	AAO41419	0.9995387882242402
CAA41556	AAO41419	0.9932424526300326
NP_609635	AAO41419	-0.9895589786302444
NP_001162642	AAO41419	0.9919120088581656
NP_001247006	AAO41419	0.9908875575726545
NP_788357	AAO41419	-0.999615907606264
NP_477481	AAO41419	0.992446524629211
NP_001284851	AAO41419	0.9941367241100225
NP_001260832	AAO41419	0.996859339105964
NP_001036344	AAO41419	0.9919871317532796
NP_001286846	AAO41419	0.9996628873444084
NP_001097380	AAO41419	-0.9927941000254346
NP_523898	AAO41419	0.9996505320836366
NP_523620	AAO41419	0.9911592817804843
NP_001246745	AAO41419	-0.9914482512781272
NP_477040	AAO41419	-0.9937900636453545
NP_001303316	AAO41419	-0.9999980571504989
NP_511147	AAO41419	-0.99995181563694
NP_001284829	AAO41419	0.9999945791858057
NP_723538	AAO41419	-0.9948103233596349
NP_648222	AAO41419	0.9998534954933614
NP_725809	AAO41419	0.9949091094871659
NP_648586	AAO41419	-0.9988907434363431
NP_610111	AAO41419	-0.9976689021569932
NP_648588	AAO41419	-0.9923020370533759
CAA71871	AAO41419	-0.9959750622300203
NP_001097041	AAO41419	0.9984943561286692
NP_001286906	AAO41419	0.9989554538093536
NP_001245829	AAO41419	-0.9895288109085095
NP_725445	AAO41419	0.9946980515809721
NP_651218	AAO41419	0.9988369500680817
NP_511145	AAO41419	0.996343630234566
NP_001014572	AAO41419	0.9990852566812495
NP_001245852	AAO41419	0.996897490637636
NP_524151	AAO41419	-0.9963614333775632
NP_001287347	AAO41419	0.9996667754799334
ACX61603	AAO41419	-0.9992797098173166
NP_001259534	AAO41419	0.9992273476202621
NP_001137830	AAO41419	-0.9904683832685659
NP_001261601	AAO41419	-0.999992991559294
NP_001162648	AAO41419	-0.9964385596555382
NP_001284965	AAO41419	-0.9919516649555925
NP_001246351	AAO41419	-0.9998091772041852
NP_649219	AAO41419	0.9976699459343966
NP_523488	AAO41419	0.9991574857588327
NP_477065	AAO41419	0.9932189987198425
NP_477041	AAO41419	-0.9999655460603067
NP_649197	AAO41419	-0.998006174280213
NP_001162705	AAO41419	-0.9893224309903831
NP_001260984	AAO41419	0.9922220852354833
NP_001246921	AAO41419	0.9964546025174065
NP_728054	AAO41419	0.9993072671560288
NP_001259489	AAO41419	0.9987458442173341
ACO72861	AAO41419	0.9908446659977711
NP_647950	AAO41419	-0.9901797913127648
NP_612046	AAO41419	-0.998671149208983
NP_001284805	AAO41419	0.9972345624491199
NP_649057	AAO41419	0.994415814325036
NP_650326	AAO41419	-0.995151546019232
NP_610451	AAO41419	-0.9962131112179782
NP_573251	AAO41419	0.9997463636799362
NP_001245533	AAO41419	-0.9949609871422089
NP_477136	AAO41419	0.9998653562939284
NP_001246525	AAO41419	0.9963232724909491
NP_001303376	AAO41419	-0.996888483221018
NP_524715	AAO41419	-0.9931863093633414
NP_001259344	AAO41419	-0.9914923526153507
NP_609492	AAO41419	-0.9997094592585132
NP_727796	AAO41419	0.9998124602614358
NP_648230	AAO41419	-0.997753076180098
NP_524867	AAO41419	0.9915033332027747
NP_001303555	AAO41419	-0.9999866667624819
NP_001286628	AAO41419	0.9944311957820782
NP_610264	AAO41419	0.9954887989847404
NP_611636	AAO41419	0.9920833011860292
NP_731649	AAO41419	-0.9965529492408469
NP_648929	AAO41419	-0.9971485575353736
NP_610538	AAO41419	-0.9916572603337751
NP_511119	AAO41419	-0.9977092098099164
NP_001262068	AAO41419	-0.9962233445593458
NP_648439	AAO41419	0.9998282994971183
CAB64936	AAO41419	0.9990161741530769
NP_001188864	AAO41419	-0.9999619798536755
NP_651335	AAO41419	0.9993007009112097
NP_648786	AAO41419	-0.9999970059454016
NP_731826	AAO41419	-0.9999120109822734
NP_651621	AAO41419	0.9995356167212597
NP_001189122	AAO41419	-0.9988564606817601
NP_001188586	AAO41419	-0.9888851623328849
NP_001261593	AAO41419	0.9993948335545307
NP_572311	AAO41419	-0.9996883670504508
NP_572337	AAO41419	-0.998096046264782
ABL84937	AAO41419	0.9930453808926195
NP_610460	AAO41419	-0.9984447098386885
NP_524902	AAO41419	0.9982243075302218
NP_001286617	AAO41419	0.9957322017917711
NP_609590	AAO41419	-0.9958216678761695
NP_001261143	AAO41419	0.9994987859048599
NP_001259135	AAO41419	-0.9927704151511199
NP_477440	AAO41419	0.996704229317245
NP_650582	AAO41419	0.994505062268621
NP_648451	AAO41419	0.9981979010480011
NP_569851	AAO41419	-0.9944228311345359
NP_001259363	AAO41419	-0.9998110540566116
NP_001261780	AAO41419	-0.9974565690708482
NP_573247	AAO41419	-0.9990605350961885
NP_649210	NP_610117	0.999484602532677
NP_649973	NP_610117	-0.9991895044126123
NP_647636	NP_610117	0.9951218366531174
NP_650131	NP_610117	-0.9920345446983216
NP_649465	NP_610117	0.9988261735578491
NP_648417	NP_610117	-0.9896182888144123
NP_731500	NP_610117	-0.998918253629624
NP_722959	NP_610117	0.9975199771248549
NP_649789	NP_610117	-0.9991365027774275
NP_651243	NP_610117	-0.9925564881277806
NP_611382	NP_610117	-0.990113231615731
NP_611175	NP_610117	-0.9940274189484758
NP_610311	NP_610117	0.9984293670452474
NP_651480	NP_610117	0.9999152973506011
NP_610875	NP_610117	-0.99599980891734
NP_650854	NP_610117	0.9906600262147568
NP_649931	NP_610117	0.9994118958571665
NP_651217	NP_610117	-0.9963701759611031
NP_647775	NP_610117	-0.9985710121395137
NP_611750	NP_610117	0.9960821867294593
NP_620471	NP_610117	0.9980112483179028
NP_649476	NP_610117	0.9919996001075722
NP_650069	NP_610117	0.997879369353963
NP_650440	NP_610117	0.999985349948937
NP_610400	NP_610117	-0.9913747965184302
NP_995833	NP_610117	-0.9909608427539883
NP_730669	NP_610117	-0.9987013325023615
NP_730984	NP_610117	0.9907101769071743
NP_726482	NP_610117	-0.9996181595363437
NP_728822	NP_610117	-0.9991448010592056
NP_996288	NP_610117	-0.9939163038592477
NP_650685	NP_610117	0.9992616864585014
NP_649304	NP_610117	0.9962546235504004
NP_649899	NP_610117	-0.9977713212682491
NP_788735	NP_610117	0.999840619953496
NP_651365	NP_610117	0.9970333386711651
NP_648553	NP_610117	0.998237430910942
NP_651750	NP_610117	0.9999912564087301
NP_611207	NP_610117	0.9999336565653921
NP_730171	NP_610117	0.9994805751158017
NP_648776	NP_610117	0.9973267393520446
NP_650583	NP_610117	0.9963542089720372
NP_611600	NP_610117	-0.9981429607246757
NP_722831	NP_610117	0.999923682244692
NP_995869	NP_610117	0.9922672628351201
NP_650898	NP_610117	-0.9927238998845695
NP_610854	NP_610117	-0.9948912720269496
NP_650055	NP_610117	0.9987538964873574
NP_727320	NP_610117	0.9926636217925028
NP_788084	NP_610117	-0.9995802256122168
NP_650501	NP_610117	-0.9996229213158423
NP_650805	NP_610117	-0.99991617105844
NP_647858	NP_610117	0.9999966864735274
NP_650752	NP_610117	0.9953852783414361
NP_647705	NP_610117	0.9905395746434472
NP_611095	NP_610117	-0.9930929989774134
NP_733295	NP_610117	-0.9957494450075027
NP_995712	NP_610117	-0.9976842335031496
NP_610185	NP_610117	-0.999350166434217
NP_724163	NP_610117	-0.9977766997521719
NP_730525	NP_610117	0.9987493732773075
NP_610963	NP_610117	0.9990212032927264
NP_610849	NP_610117	0.9930381740739869
NP_650031	NP_610117	0.9998924285103312
NP_725213	NP_610117	0.9972077461549053
NP_650454	NP_610117	-0.9990869198750544
NP_730952	NP_610117	-0.9990815140567165
NP_651001	NP_610117	-0.9937944174381942
NP_651320	NP_610117	-0.9938606485320548
NP_650382	NP_610117	-0.9950633766239637
NP_725401	NP_610117	-0.9921351710745453
NP_610192	NP_610117	-0.999803660370079
NP_651280	NP_610117	-0.9982219599025636
NP_649243	NP_610117	-0.9993130788761159
NP_732316	NP_610117	0.9995030971372443
NP_650987	NP_610117	-0.9964307058604974
NP_725586	NP_610117	-0.999126478340777
NP_648955	NP_610117	-0.9999106273128172
NP_611355	NP_610117	-0.9935893676395847
NP_610615	NP_610117	-0.997401635284735
NP_648163	NP_610117	-0.9998663348567736
NP_611508	NP_610117	-0.9991394698715477
NP_648409	NP_610117	-0.9985834078061512
NP_648178	NP_610117	-0.9999521703366395
NP_650857	NP_610117	0.9998158206057094
NP_610908	NP_610117	0.9966402828551784
NP_648094	NP_610117	0.9929775444382517
NP_649352	NP_610117	-0.9923415222295912
NP_611541	NP_610117	-0.9975534267134643
NP_648848	NP_610117	0.9991504332876266
NP_611297	NP_610117	-0.9933019137320521
NP_731983	NP_610117	-0.9946290340217347
NP_650643	NP_610117	0.9975461991723812
NP_649865	NP_610117	0.9992000459065927
NP_651556	NP_610117	0.9953681868944751
NP_611228	NP_610117	0.9988904093042738
NP_650540	NP_610117	0.9959284697348741
NP_611606	NP_610117	-0.9960403220550011
NP_648328	NP_610117	0.9926214250909741
NP_611693	NP_610117	0.9941521085557128
NP_649898	NP_610117	0.9943102569524376
NP_610605	NP_610117	-0.998040405137899
NP_611604	NP_610117	0.993470055284466
NP_732364	NP_610117	-0.9921949843680953
NP_651872	NP_610117	0.9997298525435268
NP_649439	NP_610117	0.996309183023405
NP_729715	NP_610117	-0.9997562729393373
NP_648377	NP_610117	0.9999999891673826
NP_649517	NP_610117	0.9982761037836929
NP_648756	NP_610117	0.9978414075096947
NP_730051	NP_610117	-0.9887479879949996
NP_611933	NP_610117	0.9989066637002212
NP_648642	NP_610117	0.9979791274421405
NP_650063	NP_001285543	0.9980523138851246
NP_730244	NP_001285543	-0.9992953379440758
NP_651456	NP_001285543	0.997417563654658
NP_573024	NP_001285543	-0.9988942016705256
NP_477454	NP_001285543	0.9956947316518121
NP_649465	NP_001285543	-0.9895370765019798
NP_511096	NP_001285543	0.9999729380036683
NP_001286827	NP_001285543	0.9989069757171279
NP_730632	NP_001285543	-0.9988300714819367
NP_001285717	NP_001285543	0.99822905706916
NP_611335	NP_001285543	-0.9994601841710777
NP_477385	NP_001285543	-0.9921143701833239
NP_648417	NP_001285543	0.9987986966704699
NP_572197	NP_001285543	-0.9995802039006079
NP_610341	NP_001285543	-0.9904339546832145
NP_722959	NP_001285543	-0.9924696379379538
NP_001369019	NP_001285543	0.9972986461443776
NP_650111	NP_001285543	-0.9902390872715364
NP_511055	NP_001285543	0.9983510118014999
NP_611382	NP_001285543	0.9986218284493521
NP_788051	NP_001285543	-0.9998701372500609
NP_648837	NP_001285543	0.9991697278243423
NP_573096	NP_001285543	-0.9923954991671272
NP_647805	NP_001285543	-0.9985403139447597
NP_733366	NP_001285543	0.9999511350800628
NP_610599	NP_001285543	-0.9998450568970232
NP_001334731	NP_001285543	0.9969639710967937
NP_651217	NP_001285543	0.9941723645640399
NP_611750	NP_001285543	-0.9945246456960287
NP_477332	NP_001285543	-0.9935009507240489
NP_724003	NP_001285543	-0.9992680130476806
NP_620471	NP_001285543	-0.9915406810730804
NP_649156	NP_001285543	-0.9984655921389749
NP_572160	NP_001285543	0.9943235412178344
NP_649476	NP_001285543	-0.997778865845999
NP_524463	NP_001285543	-0.9931983046980885
NP_001303491	NP_001285543	0.9996050818622965
NP_572488	NP_001285543	0.9935571987536023
NP_995833	NP_001285543	0.9982785687996257
NP_001285719	NP_001285543	-0.992335833753223
NP_609670	NP_001285543	-0.9940923506086532
NP_649580	NP_001285543	-0.9999923496709544
NP_652032	NP_001285543	-0.9944066705794379
NP_001287070	NP_001285543	-0.9985067267611296
NP_730984	NP_001285543	-0.9983856941385323
NP_524660	NP_001285543	-0.9923238634497487
NP_647985	NP_001285543	0.9979325106007161
NP_649304	NP_001285543	-0.9943166518484805
NP_524427	NP_001285543	-0.9950630620371825
NP_523357	NP_001285543	0.9999241546093482
NP_788448	NP_001285543	-0.99944372599346
NP_788494	NP_001285543	0.9974948825673587
NP_477118	NP_001285543	-0.997705862382594
NP_477448	NP_001285543	-0.9980660930238421
NP_732013	NP_001285543	-0.9990798638003934
NP_651365	NP_001285543	-0.9932570315589752
NP_648553	NP_001285543	-0.9910541413472597
NP_732900	NP_001285543	0.991646143147974
NP_611968	NP_001285543	-0.9992936708419101
NP_996404	NP_001285543	-0.9999955128257297
NP_524330	NP_001285543	0.9997047296354158
NP_523926	NP_001285543	-0.9948517691333513
NP_648776	NP_001285543	-0.9927960329368747
Q9VP61	NP_001285543	0.9965351194528599
NP_650583	NP_001285543	-0.9941925452499617
NP_731192	NP_001285543	-0.9894400770116994
NP_995869	NP_001285543	-0.9976341513342358
NP_611302	NP_001285543	0.9982104399602747
NP_650898	NP_001285543	0.9973704411738068
NP_651288	NP_001285543	-0.999509113346187
NP_524780	NP_001285543	0.9972672062404013
NP_650055	NP_001285543	-0.9897480785850313
NP_524836	NP_001285543	0.9914743405483489
NP_001287215	NP_001285543	0.991160797339312
NP_611087	NP_001285543	0.9962914129510548
NP_001286545	NP_001285543	-0.9948302145258819
NP_523735	NP_001285543	0.9966951944585218
NP_001286475	NP_001285543	-0.9977119528182318
