	NP_651781	NP_610460
NP_649210	0.3012813934772255	0.2801845111946078
NP_650063	-0.018263321967689507	-0.5411114273459928
NP_001286321	0.45012084533066626	0.12281102143782285
NP_722721	0.44909155265249545	-0.8702801743505982
NP_610604	-0.509752564541397	0.9022329568722726
NP_001259531	0.08764435009481712	0.4814125316511423
AAL48038	0.9960280113097708	-0.8771680124327039
AET07646	-0.388105918862005	-0.1902796498732295
NP_001162901	-0.6119904236358119	0.068498717286976
NP_001260098	-0.367295353522905	-0.2122951676489295
NP_511096	-0.0879306004682127	-0.4811606425930991
NP_659573	0.9993231672448861	-0.809898784901094
NP_523767	-0.6383901140132595	0.10220361787575179
NP_001246637	-0.1830264552382577	-0.394899526359733
NP_730632	0.03230498147453166	0.5292462168237382
NP_001261383	-0.9233364134778074	0.553580843999966
NP_476778	-0.6337669544318143	0.9569879053293531
AAA29000	0.8122614163130738	-0.999463599141364
NP_001286247	0.2644540512160085	0.31682934561947756
NP_723510	-0.4200204404864226	-0.15591594777533652
NP_477385	0.2048923642508551	0.3743250318855495
NP_001246465	-0.15934055586287574	-0.41687069237946206
NP_477310	-0.939506825260739	0.9712395203564559
6XU6_CB	0.997136618879358	-0.8706229806507323
NP_001287386	-0.796843657751171	0.32596322914699744
NP_001303317	-0.2431683301820921	-0.33762408649406483
AAM11288	0.7655751643979751	-0.278193023974161
NP_001245823	-0.4794401799004385	0.8866450437110587
NP_729234	-0.5320501608430726	0.9131893182804969
NP_722959	0.2020852885867883	0.37698211080264427
ACT88125	0.3729920959023702	-0.8261579554421511
CAA40804	0.09442369247951754	-0.6323531897386738
NP_729380	0.21491363619858855	-0.721956630500182
NP_001263095	-0.7895828846166791	0.31466760233904917
ACY40036	-0.8345371642820975	0.3869020904128837
NP_001097695	-0.3010367087838087	0.7807105734503124
NP_651455	0.5313559983362328	0.02981767217751569
NP_511055	-0.1376845257777493	-0.4366748987210383
AAA28509	-0.22696241550459362	-0.35327071926949083
NP_001246877	-0.07368655121891002	-0.49363895794478324
NP_611175	-0.37396191499842285	-0.2052755967192148
NP_523830	0.22958048525089844	0.3507537643991538
NP_651400	-0.9989245455331683	0.8558313066841499
AEB39622	-0.25806229864912567	-0.3231029651656828
NP_649785	0.8336661291567175	-0.38544550897778374
NP_001246778	-0.7896449355845012	0.31476358918195363
NP_001285404	-0.312987426408179	-0.26835563281288427
NP_001285979	-0.9753823223668188	0.6877794494853355
NP_647775	-0.2186808766374837	-0.36120526144064724
NP_726358	0.5052830082655139	0.06027607149051693
NP_608375	-0.5989980626714428	0.05220301774826168
NP_477332	0.19352953694239491	0.3850519277667967
NP_001137999	-0.6943750293390263	0.17659749670607058
NP_726775	0.45797472809238476	0.11405813365357967
NP_001096945	0.9801602241044585	-0.7041644769388918
NP_524463	0.19610791152121898	0.3826245456253517
NP_608531	0.297099776880342	0.28438863899440986
NP_001259537	0.6836226459788819	-0.16197553619941812
NP_651885	-0.9996846860773716	0.8446370238234181
NP_001286053	-0.99982207063657	0.8412755063730363
NP_001036276	-0.9768293755158767	0.6925988824225312
NP_730669	-0.31921250495727854	-0.2620290487775045
NP_001163784	-0.4935596960550411	-0.07377744130390086
NP_609151	0.8216138300478839	-0.3655408624411948
NP_652032	-0.025126330218808585	0.5770822504604317
NP_001014515	0.33096266776262867	0.25001811514160505
NP_536731	-0.2792600839026334	-0.30219937841541833
BAA34397	0.7680166004053531	-0.28184437737250756
NP_649069	0.6738258139793445	-0.1487972884548465
ABG02147	-0.44612879258422933	-0.12724151321244812
NP_573128	-0.41053673993856293	0.8484580878539795
NP_001286142	-0.9806411780704887	0.7058957647110857
NP_572320	0.9396584380688389	-0.5904433274874532
NP_001260128	-0.8895872686615816	0.4850481777062658
NP_652145	0.4520629611695172	-0.8719147904932548
NP_001162682	-0.9764807229817389	0.9313434214040355
NP_524938	0.08557362403735619	-0.6254443821308125
ABV69001	0.9460240703417238	-0.6057573786339743
NP_609299	-0.7131920365932677	0.2026065617156456
NP_477378	-0.618878615413111	0.07721481712159642
NP_788518	0.9967046815455527	-0.8733211817846657
NP_001262294	-0.440759390539658	-0.13318113356229289
ACX30015	0.3740697990397232	0.20516174583134594
NP_648553	0.21290506174022644	0.3667147453702445
NP_610470	0.3979590523905861	-0.841099915677607
NP_001188958	-0.9265885364839936	0.56068704554601
NP_726025	0.5822020050113169	-0.9361293351390935
NP_648904	-0.9894318953304917	0.9028209644955868
NP_725103	0.6900014195589499	-0.17062949401669517
NP_001163479	-0.11528406523878573	-0.456877332376156
NP_609305	0.24084187035943969	0.3398800545443242
NP_001260510	0.05917088533312016	-0.6045716370873805
NP_001262996	-0.6742859347078923	0.9711531091715235
NP_730171	0.30140078647693774	0.28006431090764006
NP_648776	0.19944608863397786	0.3794760276010373
NP_001259998	-0.8965968438176894	0.4986160635074376
NP_573076	-0.9754131109180524	0.9331156003789859
NP_001259742	-0.7366834956168393	0.23588610357899137
NP_001285398	0.13168801719879375	-0.6609576206383002
NP_647865	-0.8639978540587451	0.43778545309621714
NP_001260930	0.45120869948412734	0.12160153495741163
NP_001287413	0.46928398023555545	-0.8812508951031855
NP_001285915	0.4275795645063379	-0.858242779122893
NP_610111	-0.8933955355890645	0.992312770832627
AFY04291	-0.7422396191299483	0.2438984985744199
NP_523528	-0.7737835607548174	0.2905197580813585
AAM11013	0.6426176602753447	-0.9602600317081617
NP_650055	0.22213305012408718	0.35790273942028555
NP_649258	-0.16895566099733744	0.6887710400646168
NP_001262259	0.11667762051688418	0.45562885178182
AAR82755	-0.08421125008967739	-0.48442993196774675
NP_524836	-0.2097908457458951	-0.3696770986939977
NP_001137769	-0.9254465469760432	0.5581794376063973
NP_001286545	0.18140496061503567	0.3964140598631836
NP_001246231	-0.5518625260829384	-0.0054264805593528375
NP_001097437	-0.5194316993424714	0.9070435645163561
NP_651582	0.6233376656424168	-0.08288613319742354
NP_648918	0.1456989501336811	-0.6715079492179133
NP_651781	1.0	-0.8309281511011121
NP_649470	0.4610969446266741	0.11056499467483444
NP_476667	0.5863012717317789	-0.03645485281056521
NP_650501	-0.24397832412375045	-0.3368378612801287
NP_609397	-0.8617687446671356	0.433815735731605
NP_001287214	0.22530977794565504	0.3548574027527224
NP_609058	-0.8064149863010445	0.3410577359735846
NP_523400	0.33805882967042394	-0.8045254636559512
NP_477153	0.5006335748020885	0.06564475986955848
NP_477159	0.136942932455148	-0.6649277833164929
NP_001287182	-0.416586666890754	-0.1596490047935808
ACV44467	0.96592959949052	-0.6586242599378127
NP_001246899	0.5825061937628477	-0.9362608542131783
NP_001286919	0.8897988165105916	-0.48545332162191185
NP_001245928	-0.6755000044681931	0.9715441203090129
NP_001096993	0.20090048929643245	0.37810219894712027
NP_523398	0.07802827093509998	0.4898475262925986
NP_001284754	-0.4739559810749024	0.8837427279243636
NP_725591	0.5535759212921589	0.0033705101176846495
NP_001259146	-0.43443918811978394	-0.140144123667118
NP_001033891	0.5809550723613607	-0.029874637359937277
NP_001285059	0.032730349532749815	0.5288850666261523
NP_477314	0.8455210303502972	-0.4054926522472501
NP_001247301	-0.2073569352933556	-0.3719883015521813
NP_001260689	-0.7544067668710784	0.9920694904749161
NP_001284961	-0.11910912750429016	0.6513900871725311
NP_001262966	-0.9659489295460196	0.9465878483567861
NP_477203	0.20679657312152758	-0.7161861021414894
NP_001285737	-0.5771022697899628	0.9339102084978356
NP_001262556	0.3935711642110074	-0.8385059952273988
NP_001189124	-0.35221460376946856	-0.22806148229961495
NP_001260732	-0.6800385197230178	0.9729876315373004
NP_001285794	0.3705369994790953	0.2088857240351152
NP_001284995	-0.7001447465863028	0.18451433046833987
NP_001246139	0.21128980597293115	0.36825195559818813
NP_523813	0.4932392397242723	-0.8938375953733143
NP_523774	0.6812566468304273	-0.15878051440097865
NP_001286260	-0.7105864192537247	0.19897195145856228
NP_524002	0.20533304883420994	0.3739074709887096
NP_608387	0.08702473596458983	0.48195760973352125
NP_001262025	0.9998586503260579	-0.8401651518316741
NP_001285145	0.6298759601784476	-0.9555194365546172
NP_610610	-0.5151701637277759	-0.0487969566910254
NP_725114	-0.8194632595721416	0.3620362187069994
NP_001303417	-0.059160604227161975	-0.5062470102837769
NP_001036440	0.6522417525258336	-0.12022406803204227
NP_524819	-0.6096513614029337	0.06555113475790236
NP_001260537	0.07271771133053144	-0.6153299463791596
NP_001286614	-0.1675657943416904	-0.4092778863003784
NP_649560	0.4309777301418822	0.1439447140485293
6XU6_CM	0.958342411714159	-0.9552278782501298
NP_001286770	0.20017435168138706	-0.7114492737308037
ACJ13227	0.9780765572820004	-0.6968476896927895
NP_651782	-0.5599926519363101	0.00435439969810145
NP_001163336	0.9535424554487432	-0.6247110515596244
NP_001247264	-0.3105135970217166	-0.2708628032626149
NP_001284750	-0.9962807478447959	0.8757790326489636
NP_001259991	-0.014597483953859952	-0.5441909913462822
NP_001261501	0.9993716689794603	-0.8106858075598373
AAL39439	0.07645173611607524	-0.6182772671917265
AAY85097	-0.3973046194174406	-0.18045073714175835
NP_647950	-0.7810181004843001	0.9964337366312096
NP_001104459	-0.10817890867122865	-0.4632256859957278
CAA61806	-0.4145917432000156	-0.16181379070984636
NP_732312	-0.11284383568601886	-0.45906086927125006
NP_524726	0.3386073975342127	0.2421547117717379
NP_524421	-0.19863553142533327	-0.38024113807866095
NP_001104426	-0.7794067756962845	0.2990489917734126
NP_001262233	0.6268282400914418	-0.0873418071945104
NP_001303431	0.29302152330272674	0.2884780825373615
NP_729654	-0.09090555149921493	-0.47854007158085815
NP_001284785	0.3972796935884883	-0.8406992151475469
ACT88135	0.819785187386365	-0.36255996806520696
NP_511073	0.8873345407346863	-0.48074995270514514
NP_001284805	0.8204322412638934	-0.9998268911415608
NP_610503	-0.4792234066131989	-0.0901303541094986
NP_476985	-0.2860750956124247	-0.2954192166249953
NP_001034051	0.37042613002476577	-0.8245974514531944
NP_001188689	0.6078344731692875	-0.06326579249847825
