gene	bait	correlation
NP_650063	NP_001137610	-0.9996010486410477
NP_001259531	NP_001137610	0.9991495662411304
NP_730244	NP_001137610	0.9974293583822315
NP_651456	NP_001137610	-0.9992891533222331
NP_573024	NP_001137610	0.9999173497860667
NP_477454	NP_001137610	-0.9919461762100674
NP_001163512	NP_001137610	-0.9999683521414462
NP_511096	NP_001137610	-0.9991376763375039
NP_001163564	NP_001137610	0.9961110487718436
NP_001286827	NP_001137610	-0.9967265989756545
NP_001246637	NP_001137610	-0.9905546876209984
NP_730632	NP_001137610	0.9998991554891867
NP_001285717	NP_001137610	-0.995613602351892
NP_611335	NP_001137610	0.9999991344490748
NP_001285543	NP_001137610	-0.9994160935497117
NP_648417	NP_001137610	-0.9965411885072951
NP_001246465	NP_001137610	-0.9935646325790846
NP_001287107	NP_001137610	0.9927339447975769
NP_572197	NP_001137610	0.9999864893395274
NP_001262519	NP_001137610	-0.9956988211487988
NP_610341	NP_001137610	0.9945704345173737
NP_001369019	NP_001137610	-0.9942065380936015
NP_001246384	NP_001137610	0.9999462783137437
NP_650111	NP_001137610	0.9944232276362922
NP_511055	NP_001137610	-0.9958066604456873
NP_611382	NP_001137610	-0.9962454794387371
NP_001262380	NP_001137610	-0.9894310094630562
NP_788051	NP_001137610	0.9998369449372221
NP_523760	NP_001137610	-0.9939896982236689
NP_001246877	NP_001137610	-0.9996289882935383
NP_001260619	NP_001137610	-0.9993227001382109
NP_648837	NP_001137610	-0.9999783672944168
NP_523932	NP_001137610	-0.9907063346038979
NP_001246799	NP_001137610	-0.9991146700284037
NP_001285515	NP_001137610	0.9915721189023171
NP_647805	NP_001137610	0.9998027401175585
NP_733366	NP_001137610	-0.9997050352839283
NP_610599	NP_001137610	0.9998627019953966
NP_001334731	NP_001137610	-0.9990423253382339
NP_651217	NP_001137610	-0.9899084449725062
NP_724003	NP_001137610	0.9999916388014289
NP_001137630	NP_001137610	0.9924116226499358
NP_649156	NP_001137610	0.9997746724358533
