	eEF1delta	Dgp-1	CG2017	pug	CG11899	CG1673	CG10621	RpLP1
l(2)gl	-0.17324663571355353	0.8242493151611123	0.5700883237433821	-0.3226228250802217	0.7526720242981166	-0.9201023874559774	-0.7496746955449243	-0.5208625176407985
galectin	-0.7579377371110817	0.9168410833259635	0.9509015987866691	-0.3648339010629693	0.6665064320447488	-0.7907977260246924	-0.7935921954981825	-0.7234047114924496
CG11377	0.791742411179237	-0.25322031546819646	-0.5771798706142747	-0.21235686449358393	0.13093988000437867	-0.16640697333764426	-0.07902181814960732	0.3927686513736195
M(2)21AB	0.47549794025198444	-0.8061058250631689	-0.7379037097369193	0.42883230030490704	-0.5709379683573953	0.9289632747421258	0.7116528019083089	0.7261992362329932
CG3164	-0.3309904824265662	0.8328602203580334	0.7480537851625627	-0.5499716149898998	0.9147692347632262	-0.820526116736722	-0.9530417964296302	-0.29322976871706746
Gs1	-0.54786397552795	0.9526324008431412	0.8554144198913467	-0.19662571489564148	0.8998709139656891	-0.7910793034318918	-0.8284875282557128	-0.6377383133574122
CG11454	-0.4920723438779464	0.4234096789494234	0.6179408393419673	-0.7507918431210887	0.2804925945436932	-0.4071016741799228	-0.6468964101669157	-0.025739170830575732
CG11455	0.8794345153081691	-0.8821945827124972	-0.9658744228191803	0.1748259639438474	-0.5172414298190896	0.6421275702146682	0.626900242173181	0.7961484150502985
CG3436	-0.30878853401966583	0.700091303146189	0.6078145794461086	-0.2508186496530728	0.9197207802555056	-0.6358602198422799	-0.7980987970493117	-0.3581656209481426
mRpL10	0.900521901361356	-0.8021480802267156	-0.9454516726509775	0.15634060404967468	-0.4157625195097318	0.5615851696124791	0.533893292083302	0.7769090174478601
kis	-0.4081424340101881	0.8912948946140327	0.7752645788090841	-0.3129259932383832	0.9131992428412296	-0.7338906580540561	-0.8683714182282779	-0.38499948515052795
CG3625	0.1345700198792783	-0.4183515974445725	-0.3115861940928034	0.05232088634372511	-0.5135255719265635	0.13141661453687647	0.4369632371313528	-0.10603676420192959
CG11562	0.7256901701765448	0.061351075676244676	-0.28208104299233594	0.09071962603275234	0.36545387900143633	-0.25222771186288395	-0.044968685795875485	0.2460639625386716
U2af38	-0.11231447980910989	0.4575716318327857	0.46165780940439993	-0.5598393488171903	0.6604757911894233	-0.3840689876435083	-0.7206443495836833	0.22859614129340008
Hop	0.04932213859150637	0.47240030487470586	0.3481573708921234	-0.34238653269634023	0.8302085322758663	-0.4157669495965148	-0.7016609723151338	0.1546470252829456
CG11912	-0.6932026298907294	0.9433095441963496	0.9659856568930428	-0.35801973171564205	0.7377930137821328	-0.8182233625258304	-0.8073929087518659	-0.6774184051575268
CG11911	-0.2731131038476527	-0.194487801638975	0.05249856612698762	-0.31985876919560885	-0.505011651706933	-0.01515839725358101	0.1472339247639733	-0.1761434481182388
Ent1	-0.6723603949676868	0.949801828419804	0.9674071075292379	-0.3363061070555686	0.7795812922402666	-0.8006424404837708	-0.8149977728078469	-0.6423100378886252
alpha-Adaptin	-0.41806090970389514	0.8798668761112609	0.7990259844191961	-0.4590508382519934	0.9067975914916193	-0.7883686524757214	-0.9294265115194711	-0.3601190466164504
ebi	-0.3145054080191109	0.7104175248878809	0.6781014093326141	-0.5883346534286278	0.7726279865749214	-0.633233113428364	-0.8769612633450937	-0.07913299874902192
RpLP1	0.760201658251139	-0.6735385275638932	-0.6575835863164521	-0.14189423210020696	-0.3424578544771568	0.5366934380373247	0.3649579232089387	1.0
CG11885	-0.42893033596073127	0.8536971019236695	0.799094123672328	-0.5036670546684892	0.8965998768254074	-0.7788388948051453	-0.9404044815742656	-0.3398399046072787
crq	-0.6162394240815686	0.9466033578628436	0.9282444921102821	-0.3140085324718105	0.8426696474973029	-0.8283652702252826	-0.8365991942948444	-0.6552970954446475
CG4164	0.8257821096051365	-0.30422554485558556	-0.6336512802435439	-0.07804355997625706	0.05589294736222301	-0.08697244603034275	0.04841529601714058	0.38197116796956854
cbt	-0.24031261197132098	0.7803565563988687	0.6980089430588893	-0.3392462749099334	0.9584424263925102	-0.6723009316709472	-0.8266786234591862	-0.20578364536038726
lwr	-0.39676620385210143	0.8485522237963453	0.7949909999794648	-0.5747593335582907	0.8666412513090872	-0.8127085454570364	-0.9478378223991902	-0.3053957802650205
Spp	0.9051343682672587	-0.5658163611780604	-0.8263261235569462	0.0760528367667341	-0.24120898863717735	0.18857027817458827	0.3581006952882757	0.4974036966480349
CG2789	-0.4805589885920865	0.31713448540038924	0.44271299440405143	0.21222565756009537	-0.08706479844403527	-0.23288001849562248	0.10810896878844692	-0.6633099115518548
CG2807	-0.08162846488107388	0.5150147398925238	0.4611795566037733	-0.4307846330293122	0.6686800250288283	-0.37442622616080423	-0.6690232789356628	0.20947397884747138
CG2813	-0.4030762680960005	0.7814083766064169	0.7545429768331262	-0.3908805093834161	0.9229851121389622	-0.6806728207651337	-0.8720223773110437	-0.3222964678336402
CG3662	-0.7753745416361911	0.8071097300269633	0.9437878097980218	-0.39664738371264835	0.44333127038946724	-0.6101429320684032	-0.6418653710190317	-0.5310951346451164
drongo	-0.5020142429052422	0.9434975722357857	0.8734628923046438	-0.25844319972911395	0.9315097902750727	-0.7881215325825913	-0.8453918057024613	-0.5410520662064185
kraken	0.7608394878118986	-0.8277792161387617	-0.8453183215655939	-0.03485703719557696	-0.4931928983580961	0.6518486624414783	0.4746627855893368	0.9303532866962544
aru	0.4833494919270357	-0.7090746554872899	-0.6637753151450732	0.11100746380335592	-0.44202350078132396	0.7579938845919005	0.44994045219181994	0.8284708785978349
