gene	bait	correlation
mRpS7	eEF1delta	0.969683694781367
l(2)k14505	eEF1delta	0.9301129704947948
rho-7	eEF1delta	0.9518787116287067
sec63	eEF1delta	0.9373387257747997
mRpS21	eEF1delta	0.9661675584889047
mRpL33	eEF1delta	0.9205525094322334
Gs1	Dgp-1	0.9526324008431412
Ent1	Dgp-1	0.949801828419804
crq	Dgp-1	0.9466033578628436
drongo	Dgp-1	0.9434975722357857
kraken	Dgp-1	-0.8277792161387617
capt	Dgp-1	0.9847903194386715
Tango14	Dgp-1	-0.8273635702568536
Plap	Dgp-1	0.9795091924213986
RFeSP	Dgp-1	-0.9078314511515049
cpb	Dgp-1	0.940942719074212
Eno	Dgp-1	-0.9090075949735276
Got2	Dgp-1	-0.8671548589066643
GlyP	Dgp-1	-0.9336048314107114
tho2	Dgp-1	0.9235526806173022
Uch	Dgp-1	0.9602636254329364
Rab5	Dgp-1	0.9230098298968966
Hrs	Dgp-1	0.935023364507393
Pgk	Dgp-1	-0.921601735583463
Taf10b	Dgp-1	0.941929131146858
NTPase	Dgp-1	-0.870859635510368
Mad	Dgp-1	0.9752016142149761
Pdsw	Dgp-1	-0.9012748157119187
Thor	Dgp-1	0.9674978772021458
l(2)k05819	Dgp-1	0.9277609434059536
Gs1l	Dgp-1	-0.8312132427679066
Jon25Bi	Dgp-1	-0.9782325129824245
mRpL28	Dgp-1	-0.8523168092536356
Rpn11	Dgp-1	0.9734987466398363
tkv	Dgp-1	0.9290884313944026
cype	Dgp-1	-0.9133954484378527
Oscillin	Dgp-1	0.9401245620456755
Gpdh	Dgp-1	-0.8731938634002817
chic	Dgp-1	0.9702756229757638
slmo	Dgp-1	-0.8582635105490912
ade3	Dgp-1	0.9587293579125129
Rack1	Dgp-1	-0.8334066566365881
poe	Dgp-1	0.9880715596086183
Su(var)205	Dgp-1	0.9244700113897669
Snx6	Dgp-1	0.9532132993645768
Pvr	Dgp-1	0.9511703651725906
Gdi	Dgp-1	0.9275743158195281
zf30C	Dgp-1	0.9200223801090165
Pros35	Dgp-1	0.9585640014991096
TfIIB	Dgp-1	0.9553909532067072
UbcD2	Dgp-1	0.9907664041419657
porin	Dgp-1	-0.8373984834794613
Stam	Dgp-1	0.9439209486248575
l(2)06225	Dgp-1	-0.886410110104075
dUTPase	Dgp-1	0.9289271299252515
Ge-1	Dgp-1	0.948764775199957
Vha68-2	Dgp-1	-0.8634661649516087
Tap42	Dgp-1	0.9558024076920315
dyn-p25	Dgp-1	0.9316979261523204
l(2)35Di	Dgp-1	-0.8174513229068349
mRpL4	Dgp-1	-0.8620078709506899
VhaSFD	Dgp-1	-0.8612755096192914
Pax	Dgp-1	-0.8650372964221906
Top2	Dgp-1	0.9840875716826764
ref(2)P	Dgp-1	0.9542645332090182
fbp	Dgp-1	-0.8819453781991625
Pomp	Dgp-1	0.9826866201770879
SdhB	Dgp-1	-0.9205435664204863
Tsp42Ed	Dgp-1	-0.8976346129084527
Tsp42Eg	Dgp-1	-0.8374563945318798
Tsp42Er	Dgp-1	0.9351519799078614
Tsp42Eq	Dgp-1	-0.9560435943206277
p47	Dgp-1	0.9710290142291413
Rpt1	Dgp-1	0.9496873984128286
cathD	Dgp-1	0.9687897569461035
Vps28	Dgp-1	0.9483899785653417
Pgi	Dgp-1	-0.8334118092808687
