	CDase	CG3603	Desat1	CG16935	CG31523	CG10602	AcCoAS	Baldspot	alc
l(2)gl	-0.6774711704369453	-0.24267435607908974	-0.5450122522758769	-0.4040105865967504	0.699749279535072	0.701487228480463	-0.5816083741270123	-0.2621623999398183	0.06190779271056748
galectin	-0.4588117104377201	-0.5989841044830427	-0.7416665788472031	-0.7900552500784224	0.2917933044019943	0.08848181343938107	-0.9362997403844192	-0.8420411900120794	0.3286803107104197
CG11377	-0.0071166304949681234	0.3804031932166795	0.13793410135850806	0.43886454921244344	0.6370644866684426	0.7775932269668616	0.41753110504569474	0.7871763940238837	-0.14543898771502153
M(2)21AB	0.41013643657221	0.14256404198252043	0.468890520870504	0.4898147336451905	-0.37870493404565136	-0.4969782373126157	0.705956551467802	0.6580565715262201	0.07427445168737304
CG3164	-0.4389347907216286	-0.6604459357529016	-0.9253064329393687	-0.8236077024158485	0.7455976991210647	0.30955385012698927	-0.8798060871281589	-0.44069231216290194	0.6699152262430741
Gs1	-0.7242965352608902	-0.6989444351965006	-0.7609250149414143	-0.6959454342546836	0.5876397346121843	0.2782203346691258	-0.8427478916520544	-0.5475702260802131	0.43291131758942625
CG11454	0.2665200815030209	-0.5082390733909123	-0.8079928885299082	-0.8827303497239724	0.09683306457758255	-0.31155009408503714	-0.8073779414980972	-0.6812614772220149	0.6778026306361472
CG11455	0.4830628690698548	0.5907444877160837	0.6226823596887546	0.7269209216929603	-0.057829576473119815	0.09238363348377844	0.8767489694759256	0.9142777731450431	-0.2265368547694581
CG3436	-0.527133356024465	-0.6817566923871652	-0.7090571091980671	-0.5677066020551275	0.7246358019016609	0.30351230146790453	-0.6736619995070049	-0.27220485015870055	0.5825350140994581
mRpL10	0.3730715612667864	0.5160321415344231	0.5382318729724211	0.7015297789235885	0.06821011185901081	0.18260972013766003	0.8380515165962736	0.9649014550514322	-0.17732255700941546
kis	-0.6441880837209969	-0.7700400570024635	-0.8906480370806943	-0.7789232985503683	0.6777533335706911	0.22865255485738176	-0.8438151846114048	-0.4172077551266259	0.6423971357036717
