gene	bait	correlation
capt	CDase	-0.8033479757485814
cl	CDase	-0.8329059881165781
CG5853	CDase	0.9153720137834803
CG10237	CDase	-0.9303153942718283
Pmm45A	CDase	-0.8609199678228583
CG6805	CDase	-0.8373105766913727
CG10924	CDase	-0.8455470553751951
abba	CDase	-0.8948617976884602
Obp56d	CDase	-0.8142674140542786
CG4363	CDase	0.951974570479145
CG4781	CDase	0.9133123374128933
Ubp64E	CDase	-0.8278994975461844
CG13676	CDase	-0.8103467971372701
CG5883	CDase	0.9180871160152828
Pak	CDase	-0.8208576079108452
Neurochondrin	CDase	-0.8517538260428525
CG5399	CDase	0.9098771276917861
Mhcl	CDase	-0.9150060399057687
cher	CDase	-0.9656844604374426
CG5315	CDase	-0.8135650027305137
CG6283	CDase	-0.8536687517560259
Vap-33-1	CDase	-0.8166877455844046
CG3626	CDase	-0.8665847445327595
CG9691	CDase	-0.9030871058115403
CG12576	CDase	-0.887613758711948
PNUTS	CG3603	-0.8154863667027711
CG4887	CG3603	-0.8237465698881923
bowl	CG3603	-0.8177321514021861
ade2	CG3603	-0.8358160733134625
CG9527	CG3603	0.9401480819564131
Cka	CG3603	-0.8426547452572277
Mcr	CG3603	-0.8451353633123128
numb	CG3603	-0.8047705207576097
da	CG3603	-0.8367291091629293
CG6700	CG3603	-0.8724245659125179
SCAR	CG3603	-0.8832223408160356
crol	CG3603	-0.9211797178791661
bun	CG3603	-0.8466689118996437
noc	CG3603	-0.8565482499283009
Tpr2	CG3603	-0.8022289033934028
mib2	CG3603	-0.8514396528789677
Fs(2)Ket	CG3603	-0.8855666314695447
CG9339	CG3603	-0.8893557920679658
CG9257	CG3603	-0.8072100046101073
Rab2	CG3603	-0.7994497400152375
Tsp42Ee	CG3603	-0.8698846836388701
lig	CG3603	-0.8568135859203766
Cirl	CG3603	-0.8031502940173753
Su(var)2-10	CG3603	-0.8768042514590196
CG42347	CG3603	-0.8294135861711005
Mef2	CG3603	-0.82534273093217
lola	CG3603	-0.8570139501066314
CG8378	CG3603	-0.8295306544113799
Lac	CG3603	-0.7992781507220594
Sin3A	CG3603	-0.859057467093795
CG6191	CG3603	-0.8574481348892299
CG8331	CG3603	0.9490814153018248
cg	CG3603	-0.9061938549031366
Pcf11	CG3603	-0.8300480056520319
Khc-73	CG3603	-0.8593741339720445
Iap2	CG3603	-0.8017652530488784
slim	CG3603	-0.8352460233427379
Spt5	CG3603	-0.8235165531113611
par-1	CG3603	-0.8627800423181121
bl	CG3603	-0.816372931469616
CG4030	CG3603	-0.8299131452139286
CG4266	CG3603	-0.8533027447520226
MESK2	CG3603	-0.8165087416576695
TBPH	CG3603	-0.7978166598787488
CG4585	CG3603	-0.8637324606790922
Dcp1	CG3603	-0.8712370677251701
Chi	CG3603	-0.8321607360477034
CG3829	CG3603	-0.8136653720243135
Pk61C	CG3603	-0.8061730887173467
klar	CG3603	-0.8489309727091832
pUf68	CG3603	-0.822159863351926
HBS1	CG3603	-0.803619269035263
zormin	CG3603	-0.9028476006979559
pgant6	CG3603	0.9143379829453356
prominin-like	CG3603	-0.7956458886817315
ZnT63C	CG3603	-0.8063278298153734
YT521-B	CG3603	-0.8376057749554129
Fit1	CG3603	-0.8252554605182809
ImpL2	CG3603	-0.7981220439827118
ago	CG3603	-0.8703482206465227
Cip4	CG3603	-0.7981046948989395
shep	CG3603	-0.8255378476711076
Klp64D	CG3603	-0.8440033133177327
CG8368	CG3603	-0.8063745131382515
bol	CG3603	-0.8017389543304377
CG6767	CG3603	-0.8914845080906502
CG8108	CG3603	-0.8555307522292647
scyl	CG3603	-0.8741087999898025
Mob2	CG3603	-0.832854361872534
TfIIEalpha	CG3603	-0.8056740460845615
Nrx-IV	CG3603	-0.8116562475943272
Ncc69	CG3603	-0.8107131110950551
tral	CG3603	-0.844210049727487
Mbs	CG3603	-0.7968777188887745
scaf6	CG3603	-0.8809077618854461
CG6852	CG3603	0.9410262262491784
trc	CG3603	-0.8077547263029508
Pitslre	CG3603	-0.8304430715224053
Cont	CG3603	-0.8254398288790412
CG9775	CG3603	-0.935880758762973
Cdep	CG3603	-0.849364971043218
katanin-60	CG3603	-0.8424898013504927
Hdac3	CG3603	-0.8011138899780955
Nmdmc	CG3603	-0.8292840873517364
Rel	CG3603	-0.8640617330705873
CG8121	CG3603	-0.8281012252938112
Kap-alpha3	CG3603	-0.8808826723117237
Fmr1	CG3603	-0.8040911614320324
CG42394	CG3603	-0.8053824907994156
Taf12	CG3603	-0.8092126976397931
glo	CG3603	-0.8040837308493554
CtBP	CG3603	-0.8125866009026597
put	CG3603	-0.8878167117164105
Sra-1	CG3603	-0.8133854657544847
SF1	CG3603	-0.8090276670886245
CG4662	CG3603	-0.8382406183801644
RhoGAP92B	CG3603	-0.8127259059921655
how	CG3603	-0.8269300101825934
CG42390	CG3603	-0.83937650099814
CG7029	CG3603	-0.8258406538297349
Miro	CG3603	-0.8617765857629837
Nup358	CG3603	-0.812699791373226
XNP	CG3603	-0.8087339870405065
jigr1	CG3603	-0.7994661214145123
gro	CG3603	-0.8625691722086585
scrib	CG3603	-0.8514183205536993
TfIIA-L	CG3603	-0.8147090877218857
Hrb98DE	CG3603	-0.855710980345349
gw	CG3603	-0.8117127990400118
CG3630	CG3603	-0.876117271745217
egh	CG3603	-0.801109147765693
sgg	CG3603	-0.8075653010244964
CG4068	CG3603	-0.824990968324134
MAPk-Ak2	CG3603	-0.8073917092490981
sws	CG3603	-0.8962237849118317
Crag	CG3603	-0.8906325534801598
ras	CG3603	-0.8404248759976892
RpII215	CG3603	-0.8231379164397356
CkIalpha	CG3603	-0.7992105138778652
hep	CG3603	-0.9125867128078677
CG6340	CG3603	-0.8555325844305746
sd	CG3603	-0.8465543489657967
Gbeta13F	CG3603	-0.8291996535320044
CoRest	CG3603	-0.8264291260899737
Rab10	CG3603	-0.8043371692308273
Mgstl	CG3603	0.9288254376280454
kis	Desat1	-0.8906480370806943
U2af38	Desat1	-0.9049150528512027
alpha-Adaptin	Desat1	-0.9347494187089807
ebi	Desat1	-0.9877135637160074
cbt	Desat1	-0.8383184142353326
lwr	Desat1	-0.9487453809926709
drongo	Desat1	-0.802916814573417
PNUTS	Desat1	-0.904066183225234
Eno	Desat1	0.910807722521196
tho2	Desat1	-0.8839862711308307
l(2)s5379	Desat1	-0.8109751488792182
Rab5	Desat1	-0.8401066739418889
Hrs	Desat1	-0.8361899571231658
Taf10b	Desat1	-0.8822629515034504
Taf10	Desat1	-0.9209711738289732
Mad	Desat1	-0.8229564707272873
drm	Desat1	-0.8760418002821193
bowl	Desat1	-0.944764771321408
l(2)k05819	Desat1	-0.9082770138754127
Rpn11	Desat1	-0.7982047507647945
pgant5	Desat1	-0.8362329615292615
tkv	Desat1	-0.8807372336266616
Lam	Desat1	-0.9395823542033717
mtm	Desat1	-0.9453683568813783
ade2	Desat1	-0.8341108192870328
Nha1	Desat1	-0.8213065104393514
xl6	Desat1	-0.9103383884192495
ade3	Desat1	-0.8575276203474851
pes	Desat1	-0.9307194974844109
poe	Desat1	-0.797212660132205
Mcr	Desat1	-0.9524173367154212
Snx6	Desat1	-0.8032928692074097
Pp2A-29B	Desat1	-0.9659012606457501
emb	Desat1	-0.8452400614567888
raw	Desat1	-0.8254841739683065
numb	Desat1	-0.8249051098654266
zf30C	Desat1	-0.9080775911491846
Srp54	Desat1	-0.9511197713659332
Dref	Desat1	-0.9537955035266641
bsk	Desat1	-0.8069531707809451
Rsf1	Desat1	-0.9282514489202558
da	Desat1	-0.9490905171488071
TfIIB	Desat1	-0.8552591060660127
Stam	Desat1	-0.8358434578044464
SCAR	Desat1	-0.948300727170355
Ge-1	Desat1	-0.8424377681785575
crol	Desat1	-0.8373800013783786
bun	Desat1	-0.8901291966123263
Edem2	Desat1	-0.8452421140481234
Pect	Desat1	-0.8590556490309224
Smg5	Desat1	-0.8851286881029712
Rab14	Desat1	-0.9018399157248134
noc	Desat1	-0.9472655788404968
dyn-p25	Desat1	-0.8603470145413071
NC2beta	Desat1	-0.9147390538379329
TfIIS	Desat1	-0.9573179105232662
Gli	Desat1	-0.8895285960219624
grp	Desat1	-0.9109557265128702
Mhc	Desat1	0.9256503208383428
Fas3	Desat1	-0.8670157508488701
mib2	Desat1	-0.9458782117347273
hkl	Desat1	-0.9407841693282031
l(2)37Ce	Desat1	-0.8835425952465082
spi	Desat1	-0.9087791835050884
fok	Desat1	-0.7976579997615322
Taf13	Desat1	-0.8637962255597316
Fs(2)Ket	Desat1	-0.8356206014644492
RPA2	Desat1	-0.9291861043248454
bur	Desat1	-0.7956634197194193
cul-2	Desat1	-0.7955325678906917
Spf45	Desat1	-0.8729668533887563
gus	Desat1	-0.8147244132093701
d4	Desat1	-0.9091417713489214
l(2)NC136	Desat1	-0.9592929301477898
Src42A	Desat1	-0.9077425727585569
PNGase	Desat1	-0.8578236971863583
geminin	Desat1	-0.9396027873132343
Dpit47	Desat1	-0.8186961614075239
Mob4	Desat1	-0.8959164999903307
Rab2	Desat1	-0.9423848159074925
Tsp42Ee	Desat1	-0.8438499387815568
Spn43Ab	Desat1	0.9519242312170224
Gapdh1	Desat1	0.9729755507032423
nito	Desat1	-0.8925511931504616
lig	Desat1	-0.9006639205213379
