	Cpr57A	Alas	pio	obst-A	Cht2	Cpr49Ag	kkv	Gasp
l(2)gl	0.49353879286130986	-0.7949929115680446	0.6793699812936729	-0.10201063258981687	0.43087732103230286	-0.406019340341725	0.08604721490396017	0.07408213958297011
galectin	0.7767904509276425	-0.9171321321738214	0.8497019945641479	-0.6925641656291398	0.7492774192180601	-0.7378441773351048	-0.5213623277767587	-0.5815657868551373
CG11377	-0.6173273318173164	0.14345612856100048	-0.24419372114529428	0.6270232838286283	-0.4993972621615698	0.3055052876997594	0.5822577409129713	0.7256599489273757
M(2)21AB	-0.6131117647798913	0.9222456973588165	-0.6248930428490537	0.4188186390817713	-0.46667873794221293	0.6626714066179225	0.10285563461029089	0.11495004209917267
CG3164	0.38387786276603936	-0.7779904228470734	0.8928372586101675	-0.5320707720323832	0.7608891690882851	-0.6262537342865616	-0.5429966367542719	-0.4818059434416042
Gs1	0.6541323514710049	-0.8144308101443573	0.9795931943134891	-0.40204643730463324	0.7500578835452705	-0.452147505994663	-0.37693533535562834	-0.4533966902003518
CG11454	0.31130703806045934	-0.556985525886229	0.43082236438228455	-0.9600976317602242	0.6076104768548952	-0.9115602849469082	-0.8893171682728253	-0.7661659440268019
CG11455	-0.8972467689234529	0.8412786251116445	-0.7848510286250133	0.6890058611711035	-0.7460914459040182	0.6621857888081402	0.4999858367560449	0.6280291470779967
CG3436	0.2385667057636188	-0.6163415500955002	0.8643416025222497	-0.28325281323290435	0.6519746210690595	-0.28720281552445426	-0.40534074131359094	-0.4231954964015237
mRpL10	-0.8681773305633542	0.778154561962537	-0.7056344857493966	0.72693095628604	-0.7268692160853649	0.6646239579138216	0.5271382744105785	0.6502436279007816
kis	0.5329917722227634	-0.7278935528200665	0.944911516945977	-0.43204570436552103	0.7828709945969172	-0.4788101205328	-0.4756753562783308	-0.4964350729314314
CG3625	-0.23993837963655723	0.16192863821954415	-0.5396010688038096	0.19139391408062825	-0.4963553589732924	0.10008450239422322	0.4208853532299016	0.45513413894137295
CG11562	-0.2932116012414547	0.12109025909630652	0.023969195913014354	0.6762392587288051	-0.10720465727591978	0.40932472597875424	0.6229720141694521	0.7128424845377611
U2af38	0.06424489536491043	-0.35797918123771194	0.6231457238356674	-0.5621301339807966	0.6764248966495421	-0.5098690039712752	-0.7492430925567057	-0.6142931969482236
Hop	-0.035907700889626616	-0.30051713397755975	0.6952967736188763	-0.2116944651089609	0.570377837447431	-0.19951832036160724	-0.47493373280500556	-0.38203813417819094
CG11912	0.746428453890949	-0.9003001355064058	0.8888935870750064	-0.6637083326148614	0.813436617136282	-0.7098776815536864	-0.5130116209586011	-0.5565664080491441
CG11911	0.06468645155948242	-0.1509896155197092	-0.36440621577345306	-0.414767772292872	-0.1841392506524392	-0.4541002530700792	-0.10037402723643775	-0.04353158654298193
Ent1	0.7279149778358749	-0.8731577461784013	0.9208122367166937	-0.6506031006571042	0.8488103592975829	-0.6775045719872358	-0.53719083142679	-0.579267934240524
alpha-Adaptin	0.4904885077575784	-0.7832672232654428	0.93200730580814	-0.5409694373603431	0.7963869383287261	-0.6033606038114852	-0.5560023915161589	-0.5356965934271141
ebi	0.3367507793368292	-0.6376144187364159	0.7876312515800181	-0.6362160437183476	0.7649853313757978	-0.6597867468624499	-0.7010633844356453	-0.6173152133276225
RpLP1	-0.7608500037596994	0.7136602580697172	-0.554714396241559	0.21804328105584547	-0.2949805525109914	0.26869972446079526	-0.013066294764068382	0.20890769560664169
CG11885	0.4545819063588362	-0.782469295389978	0.923814705370917	-0.5884350855306664	0.7977612552707407	-0.6369459822071345	-0.6102846884937628	-0.5752903101480317
crq	0.6673687778135682	-0.8706382656253614	0.9450303439904602	-0.5615375012750188	0.8082312058582276	-0.6069697976121039	-0.47275606197063064	-0.5154691149021321
CG4164	-0.6099512071941606	0.23012258258562016	-0.3147701330547443	0.7319091723716896	-0.5551639783008002	0.4201048784249238	0.6933593816914438	0.8122025958852956
cbt	0.31261341458403924	-0.5941619947075059	0.9098856805023929	-0.39582920290301377	0.8175398101746149	-0.4057765803414304	-0.5161769183983005	-0.47171462585703444
lwr	0.4494587461519677	-0.8018743759510281	0.8825596688457746	-0.6175558777781762	0.7967730582520166	-0.6985900602464744	-0.5995573600794163	-0.5413907200706841
Spp	-0.7212031442219389	0.4860777892198405	-0.5880197668476131	0.8254713900326816	-0.7337617490037385	0.5739137127800706	0.7873634666374155	0.9033160620878703
CG2789	0.5704944259838414	-0.32037287620913896	0.10503362300930706	-0.17686077325328634	0.19785744207063855	-0.1918056424732834	0.13131526591913562	0.01346815422632121
CG2807	0.1625640387219442	-0.32926278242239204	0.6350593943927565	-0.45193827918321655	0.6914114921973773	-0.418836000823704	-0.6321628765547712	-0.5331069294414635
CG2813	0.3508392500114757	-0.6766143975619355	0.9362229974184684	-0.5184458232206525	0.7861565753836282	-0.4972669932160865	-0.6223430746492693	-0.5949570090094154
CG3662	0.8039836080854256	-0.7813688302685994	0.6917653379417162	-0.8607418002648549	0.8191399708850681	-0.8356148364731741	-0.6680150937100993	-0.7006387631687904
drongo	0.5993383090317906	-0.7872479613396832	0.987197932003712	-0.4606437503799898	0.8354496628403937	-0.4933446511411437	-0.45759785895568167	-0.4953682157625728
kraken	-0.8413568532344715	0.7791901249961937	-0.6998218203989302	0.38463027708006625	-0.5739329410654382	0.42158219174884176	0.15404389896853024	0.3205725496850383
aru	-0.633175579517468	0.7596123363387046	-0.5252352338161206	0.22650446301907834	-0.3722795640360885	0.411239398724727	-0.08591490170624151	-0.0034932560490530994
dbe	-0.635835370386027	0.5662391231103169	-0.37295409987714845	-0.03319109784148864	-0.22277228465646484	0.14168573690174557	-0.34210037779639546	-0.19933519496510485
PNUTS	0.61715203347061	-0.7232438722579931	0.9032612027001786	-0.7725393683087087	0.9072366639284603	-0.6796209784715975	-0.7911552019642878	-0.8087655896780315
Atg4	0.6761820213360252	-0.8757152490793966	0.9481270044756928	-0.5867454241871545	0.8327674413605368	-0.6394291276805392	-0.4980014944873098	-0.5304334728246234
Pino	0.3370541012464716	-0.6105823175071691	0.9420772431135347	-0.2953090206394984	0.7441305551338597	-0.29176301845881447	-0.417398414223552	-0.4258782923832169
CG4552	0.5644335871514223	-0.8629919648162196	0.858981138289029	-0.6657942174128706	0.7785669857088209	-0.767678118128265	-0.5813061972274717	-0.5455058507674744
CG4726	-0.7841167798724661	0.8061281035552393	-0.8437048305517787	0.25461500317475333	-0.6415327957137287	0.35044912352432495	0.09572690140536066	0.23649460904101505
CG4764	0.31578325117581096	-0.7541762250214445	0.8457172149527653	-0.3379840158651984	0.6263287206308722	-0.5081199588940146	-0.34304258588430153	-0.2847304465108559
capt	0.8355107245913962	-0.8009498244511929	0.9066551799791205	-0.36487577238011776	0.75969906198611	-0.4203422211604102	-0.2461749528284066	-0.3755869070458088
Tango14	-0.7928590138543289	0.825328356302943	-0.6811019588908885	0.39415164438224976	-0.5457876758145688	0.4856688291005451	0.12953846672483618	0.25816659618256316
CG5080	-0.1968916168956765	0.5427118251811542	-0.6488980551097492	0.7990616706032323	-0.6629515387321899	0.7195740494867177	0.9004698421357613	0.8007349320102644
Plap	0.6921952548662159	-0.8154415106348553	0.9273865378146925	-0.327423585282712	0.7468908452800356	-0.44514212034049666	-0.24421166861585392	-0.3132138328998116
CG4887	0.4450257829256389	-0.5246250855624941	0.7520638004962864	-0.7044273605472646	0.8270991057292095	-0.6171075680988541	-0.7998642471655302	-0.7642230422858911
CG5126	0.42818232630001823	-0.8785464462525929	0.6840518383125095	-0.36478106017821055	0.5120947933513241	-0.6328048174317523	-0.1372996034119258	-0.07693899589210887
CG5001	-0.46854309794811416	0.3807471736918283	0.013115758902328637	0.5354843547728695	-0.17876679128857265	0.6547149556959903	0.2573221679003534	0.2360934795160695
CG5011	0.5272338130773325	-0.07708008348750787	-0.08795813773220686	-0.6597039135934795	0.2638776064823276	-0.45487810183738875	-0.5006212976176119	-0.5758687339053089
CG33128	0.41909041669928104	-0.11128888406366083	-0.3190055712452561	-0.5077412673018863	-0.012547373570004522	-0.468713051157666	-0.19478358854024627	-0.23165619867069148
RFeSP	-0.7988611193964866	0.9342699791539402	-0.8148519082526039	0.6309789412895106	-0.6957245539649465	0.6902031489128453	0.421505402352187	0.5171719915540608
cpb	0.5898191208998119	-0.9092835051407626	0.8807251559893692	-0.4677447055832853	0.7194381497341628	-0.635899139089726	-0.3258089036980585	-0.3213471270935418
CG17660	0.5919691614808811	-0.7936403535830737	0.8640745053759868	-0.8148156763976463	0.8654149360991612	-0.7881812036702796	-0.7764842205942598	-0.7560285919467689
mRpL48	-0.8607456743988483	0.752948827998693	-0.6619290135510991	0.6504452104052049	-0.6894713544700732	0.6160885602529902	0.41841460051173607	0.5353167389482616
CG18317	0.492838853668351	-0.633630937352431	0.9678527612318653	-0.5352297357966952	0.8614057145884808	-0.44389990177648775	-0.6549539584354466	-0.6856859141225089
Eno	-0.6516752188002559	0.8543039846709088	-0.9171073174614643	0.7318313123171888	-0.8559389866934647	0.7441097628810155	0.669203405603166	0.6782496891699571
CG31937	-0.5419481405016967	0.7064770261241903	-0.8026812447094489	0.8189269942838086	-0.8340646507238986	0.7712379917968355	0.8221594258972377	0.7924237592960723
CG10908	-0.11645470237795247	-0.04188454332716241	0.2901043031764043	0.42978985566735356	0.2149308643245133	0.20924349813764326	0.34563696400698773	0.4463906433017947
CG7289	0.13084792135112955	-0.5367636922672194	0.7781638892799965	-0.1965624292764929	0.5785383714267192	-0.3169932525732291	-0.32392727271988514	-0.24604907524067998
Got2	-0.6120813933370455	0.9487308431145017	-0.7898951668140589	0.7330379017323215	-0.7109130814642629	0.8621760795631167	0.5439594235294739	0.5151181054791998
Nplp4	-0.12462583874514825	0.7303886970370049	-0.4903832830714119	0.27994221517611007	-0.2930348910580991	0.6176387466908372	0.12887667040293382	-0.01801373294981642
Su(dx)	-0.26717225217491986	-0.20161283502856744	0.48676110518268756	-0.09596045823109985	0.2896087372588895	-0.1381395692138493	-0.365607034818264	-0.2407663318414837
