gene	bait	correlation
galectin	AcCoAS	-0.9362997403844192
CG3164	AcCoAS	-0.8798060871281589
Gs1	AcCoAS	-0.8427478916520544
kis	AcCoAS	-0.8438151846114048
CG11912	AcCoAS	-0.9448089092190087
Ent1	AcCoAS	-0.9501298111947264
alpha-Adaptin	AcCoAS	-0.9015040084422666
ebi	AcCoAS	-0.8598691919919871
CG11885	AcCoAS	-0.9164102951760088
crq	AcCoAS	-0.9137281364812273
lwr	AcCoAS	-0.9228537209752609
CG2813	AcCoAS	-0.8506787867133925
CG3662	AcCoAS	-0.9299285193073562
drongo	AcCoAS	-0.8780569675961232
PNUTS	AcCoAS	-0.9691627917737242
Atg4	AcCoAS	-0.9360752476846849
CG4552	AcCoAS	-0.9481775236673079
CG4887	AcCoAS	-0.8487000855377721
cpb	AcCoAS	-0.8650672836726405
CG17660	AcCoAS	-0.9924951030866977
CG18317	AcCoAS	-0.8631649956509447
Eno	AcCoAS	0.9891296878856741
CG31937	AcCoAS	0.9539231108799296
Got2	AcCoAS	0.9504862846706282
GlyP	AcCoAS	0.9269042913760395
tho2	AcCoAS	-0.8629461901036282
Uch	AcCoAS	-0.9014038457185911
Rab5	AcCoAS	-0.9009644600736306
Hrs	AcCoAS	-0.9017825717807886
Taf10b	AcCoAS	-0.964684304476581
Taf10	AcCoAS	-0.9864367676823359
colt	AcCoAS	0.9654117139599716
CG2991	AcCoAS	-0.8461230175120753
CG31694	AcCoAS	-0.8876859432723053
CG3558	AcCoAS	-0.8656672868229565
Mad	AcCoAS	-0.9118606777540904
CG15406	AcCoAS	-0.9574043033141547
CG2774	AcCoAS	-0.9197885165332718
Thor	AcCoAS	-0.8888477772259901
bowl	AcCoAS	-0.9533608738780611
CG10039	AcCoAS	-0.8267615443698652
CG3714	AcCoAS	-0.9425868023520386
Tps1	AcCoAS	0.9760591177406172
l(2)k05819	AcCoAS	-0.9738190311420482
CG15440	AcCoAS	-0.9800341040144624
CG15626	AcCoAS	-0.962014399071615
CG3008	AcCoAS	-0.859806486941331
CG34125	AcCoAS	-0.9443012004691689
Rpn11	AcCoAS	-0.9051166008356989
CG5828	AcCoAS	-0.9302192134342534
tkv	AcCoAS	-0.9400089434410281
Oscillin	AcCoAS	-0.9442270786749358
Gpdh	AcCoAS	0.9553257458330363
chic	AcCoAS	-0.8988604387337901
mtm	AcCoAS	-0.9519138086762416
ade2	AcCoAS	-0.8310080264354308
CG9135	AcCoAS	-0.9487677498609456
Cpr	AcCoAS	0.9676309954556335
Tig	AcCoAS	0.97127481099786
CG16947	AcCoAS	-0.8221442853466403
ade3	AcCoAS	-0.914368163121545
CG11266	AcCoAS	-0.8960975124219374
CG13779	AcCoAS	-0.8691170450154297
CG15818	AcCoAS	-0.8417185092518129
CG5261	AcCoAS	0.9358655495719967
CG5958	AcCoAS	-0.8946074138751641
pes	AcCoAS	-0.9519055320829
baf	AcCoAS	-0.8671235815477533
poe	AcCoAS	-0.8880808134053801
Mcr	AcCoAS	-0.8692072335808111
CG8668	AcCoAS	-0.8590123146105796
CG8475	AcCoAS	-0.9491886381545995
Su(var)205	AcCoAS	-0.8454733821863306
CG8372	AcCoAS	-0.9335194181107586
CG8360	AcCoAS	-0.842987556807924
Snx6	AcCoAS	-0.937269026514051
Pvr	AcCoAS	-0.8413627237375688
Pp2A-29B	AcCoAS	-0.9484742729137936
CG17292	AcCoAS	0.929614684144697
CG17293	AcCoAS	-0.901426569362139
Akap200	AcCoAS	-0.9163676968548667
