	cv-c	loco	luna	CG6191	larp	Skeletor	puc	bol
a	-0.5865973213951996	-0.3062503959418763	-0.7134107519258976	-0.5883778894171107	0.06704631805581192	-0.9080670559025811	0.9865947458863316	-0.6218685053027893
Argk	-0.9940419002394882	-0.9787783776719111	-0.9619572018603889	0.4115095484711308	0.9002126646849453	-0.0853804867008785	0.34638306037218847	0.3728091392678892
Bsg25D	-0.47619322939639264	-0.7256095251166864	-0.3229244848533772	0.9835873276155976	0.8704298419950929	0.7705959157830579	-0.5741351781220504	0.9751273294872513
cact	-0.8831077866074215	-0.6938676185035328	-0.948968240582337	-0.1725882493170474	0.4992137838760493	-0.6311625002869616	0.8141589247638553	-0.21386705385822638
crc	0.19843064448823303	0.49284442743805273	0.03224827914064268	-0.9933789803845444	-0.688566746242499	-0.9232055147894925	0.7883432902785922	-0.9973321232064948
cv-2	0.5721079401185218	0.28927978611337213	0.7008413132194143	0.6026586318862319	-0.049299368349225846	0.915368748956125	-0.9893397663487749	0.6356912914917208
dnc	-0.6547706836952875	-0.3878334450708613	-0.7716185435336168	-0.5158701104042672	0.15351541640958005	-0.8682268252270462	0.968676740122984	-0.5514473049270897
Pka-C3	-0.7498321077815936	-0.918158562621733	-0.6290306927224543	0.861330196632994	0.9867069284840082	0.5040553532347178	-0.25713825048573347	0.83919810574104
ed	-0.9993895547116557	-0.9608738685727249	-0.9795777784740185	0.3427448113081833	0.8654185172521194	-0.159078463191205	0.4150386755694758	0.30292653254821816
egl	-0.18471859055331935	0.1294494823434921	-0.345984710585446	-0.8772565274182837	-0.3653127767996143	-0.999960264644585	0.9618411131210108	-0.8966711653687044
Eip74EF	-0.818118308900684	-0.5992243113805388	-0.9025406634030014	-0.2933901023024033	0.3879228009089603	-0.7224680896480894	0.879872353547256	-0.33334212159766946
fz	0.7790102506935621	0.5459197238248088	0.8726429544354937	0.3549087565813087	-0.327192915383126	0.7658812380695276	-0.9089001181270548	0.39391914849530113
klar	-0.4161024749856293	-0.677791087279509	-0.25867695984596273	0.9934793364849271	0.8354269623358307	0.8116324838258607	-0.6277918491556362	0.9878044082358799
crp	0.8610709443452346	0.9763697989540108	0.7642447714017007	-0.7501694887847364	-0.9996533842358454	-0.33228392765755743	0.07043753675725938	-0.721691764919713
