gene	bait	correlation
ed	cv-c	-0.9993895547116557
form3	cv-c	0.992073956812447
serp	cv-c	-0.9869177775328649
sxc	cv-c	0.9911618795694959
d	cv-c	-0.9990310236437985
magu	cv-c	-0.9921045647977154
mam	loco	-0.9985782524417899
yrt	loco	-0.9980420883046839
retn	loco	-0.9973757788797987
stumps	loco	0.9897916106932888
scaf	loco	-0.9968718064324554
slow	loco	-0.9990935004060768
zormin	loco	0.9897744214521288
serp	loco	-0.9882162652998282
pnt	luna	0.9948203151325451
tai	luna	-0.9864331747158244
magu	luna	-0.9991282598533857
crc	CG6191	-0.9933789803845444
klar	CG6191	0.9934793364849271
raw	CG6191	0.9989713060898361
Parp	CG6191	0.9922531510414818
bol	CG6191	0.9991149712670725
RtGEF	CG6191	0.9986113887772958
Pdk1	CG6191	-0.9998545168008375
PlexA	CG6191	0.9986621204848798
obst-B	CG6191	0.9957497944399487
seq	CG6191	0.9915610332969826
Samuel	CG6191	-0.9982188693495805
Haspin	CG6191	0.9906902768792655
IRSp53	CG6191	0.9997027408747515
Nipped-A	CG6191	0.9909820004780006
Pde9	CG6191	-0.9999980003394032
uex	CG6191	-0.9890425087950281
axo	CG6191	0.9996814380034174
Pde8	CG6191	0.9944220868516556
Gp210	CG6191	-0.9927566133511159
Ttd14	CG6191	0.999142376556417
pum	larp	0.9906502730361337
mew	larp	0.9996656397668888
mtd	larp	-0.9988728010921117
mspo	larp	0.9999433208596709
zormin	larp	-0.9949012805499605
milt	larp	-0.999616076044735
tn	larp	0.998772996688792
sima	larp	0.9996071150341106
stw	larp	-0.9984483531827376
egl	Skeletor	-0.999960264644585
pk	Skeletor	0.9993937750740266
rl	Skeletor	-0.9959053483604497
rst	Skeletor	-0.9922852975007773
kek5	Skeletor	0.9999990407680145
Tsp	Skeletor	-0.9862787262551445
exp	Skeletor	-0.9903580288080414
spz5	Skeletor	-0.9983464564820844
pdm3	Skeletor	-0.9960515709832222
mbl	Skeletor	-0.9998757476996653
wts	puc	0.9958420362186774
wun	puc	0.9982688157770772
sona	puc	0.9988608464901025
rdgC	puc	-0.9961474001334414
crc	bol	-0.9973321232064948
raw	bol	0.9999945972551325
so	bol	-0.9905123982263851
cora	bol	0.9921366020730712
obst-B	bol	0.9987424913022802
vir-1	bol	0.9943401621536162
uex	bol	-0.9943769428079129
