	stw	Gasp	pio	puc	serp
a	-0.011381986204871158	-0.06980488001887834	-0.1923903958372165	0.9865947458863316	0.44835112690346507
Argk	-0.8745675289832094	-0.9014132615207369	0.7575577189389833	0.34638306037218847	0.9986108588222748
Bsg25D	-0.8964928445771725	-0.8690653061759376	0.9679081681753694	-0.5741351781220504	0.6117347165807533
cact	-0.450188785892731	-0.5016077241782616	0.25900996529700065	0.8141589247638553	0.7959131066904651
crc	0.7278800256285296	0.6865589817846984	-0.8522152334495809	0.7883432902785922	-0.3538531518807951
cv-2	-0.006395015593637986	0.05206085771090376	0.2098042611343635	-0.9893397663487749	-0.43239075366792223
dnc	-0.09825169791082508	-0.15624709345552243	-0.10636763276779365	0.968676740122984	0.5243469934676431
Pka-C3	-0.9942253638820195	-0.9862538104569321	0.9952544953635176	-0.25713825048573347	0.8466932251132838
ed	-0.8361744409427133	-0.8668006314096387	0.7070309517323038	0.4150386755694758	0.991947838910818
egl	0.41658282075950853	0.3627374465242346	-0.5929060920466886	0.9618411131210108	0.023852118962604283
Eip74EF	-0.3359959171859004	-0.39046983284942915	0.13724813372017625	0.879872353547256	0.714703433818145
fz	0.2740646988351888	0.32980451005325556	-0.07257346946186277	-0.9089001181270548	-0.6677295759398205
klar	-0.8647355630130027	-0.833904098649652	0.9488594582517714	-0.6277918491556362	0.5572631158523922
crp	0.9966362399743954	0.9997223580620284	-0.9590905760633719	0.07043753675725938	-0.9317863746727209
sas	0.3835135160299527	0.43683499214592203	-0.18750160818258335	-0.8545367214522461	-0.7493866752383068
robo2	-0.9549364636454086	-0.935956645422115	0.995359909823824	-0.4384659313777085	0.7283481100927912
mam	-0.9697629609857854	-0.9823689201808671	0.8997856224085278	0.09385993195510126	0.9786521175538129
nkd	0.3745495261812207	0.4281009191708693	-0.17797792491217612	-0.859527806696817	-0.7429376451142875
pk	-0.439992700980162	-0.38675585190521633	0.613567243015332	-0.9544306618231463	0.0020529630979068776
pnt	0.6334471469664451	0.6775891091640867	-0.46268397204212547	-0.6685489769293331	-0.9084403130016828
Ppn	-0.47843497483293485	-0.5289400164424114	0.28967944359492387	0.7952284888670175	0.81481452612105
pum	-0.9967100938754624	-0.9902692628748033	0.992341448818728	-0.2315577795961058	0.8604338348843429
pwn	-0.968529491717195	-0.9523266774787965	0.9989161194197956	-0.3931762494524418	0.7615592458120707
px	0.037854628822176634	0.09619416441559664	0.16633924891681068	-0.9819278450076667	-0.4718618001144485
raw	-0.7739153055790279	-0.735579044548922	0.8866177591972743	-0.7435315695234942	0.418200101940524
rl	0.48930635407961404	0.43749834051232706	-0.6565788080706935	0.9363350906758543	-0.05772452548595043
rst	0.5184725502137733	0.46760929768583953	-0.6816705066847122	0.9239467851688546	-0.09139837393082585
S	0.9989759558692479	0.9946239199233577	-0.9872718490455609	0.1965127588274037	-0.878158554720003
Scr	-0.019664453711085172	-0.07806567374980113	-0.184255147256529	0.9852091350129263	0.455739919449962
Sh	0.5966643060104498	0.548741851291112	-0.7475180612351429	0.8838354659001769	-0.18473321460754052
so	0.6819518746940869	0.6380387895548936	-0.8165491759709687	0.8265265025683551	-0.2925481053781174
Btk29A	0.6119295146455054	0.5646576915877958	-0.7601068944722769	0.8747108184826613	-0.2035283113954552
vn	-0.9621554145195511	-0.9445840227392643	0.9974797030371255	-0.41553612318376143	0.7454881870531184
yrt	-0.9719803034029699	-0.9840572486661665	0.9037857133768246	0.08464090212371496	0.9767078939439572
Tm2	-0.5965217138447652	-0.5485933075994521	0.7474000301895971	-0.8839185680395414	0.18455859449982473
ct	0.02473075417071173	0.08311673921253128	0.1792720126191621	-0.9843281315395432	-0.4602447445107557
T48	-0.7091697367818032	-0.7491641910455963	0.5508148218605842	0.589093082268257	0.9463856689424295
fwd	-0.9644952746382848	-0.9782821619594673	0.8905468186289094	0.11447886320682067	0.982702438526758
mew	-0.9966746231238847	-0.9997333152484487	0.9592234421167086	-0.07090606256978488	0.9316157673723959
zfh1	-0.5451740263995157	-0.5932388205680014	0.3631225204223852	0.7457495852750295	0.8573681063111009
zfh2	-0.3027513981555392	-0.35793709765367604	0.1024186094384818	0.8959998394940122	0.6897297859556546
retn	-0.9314817370329239	-0.9511514364459219	0.8379331968711099	0.21802568703033423	0.9967045908363588
Ac76E	-0.990064933316668	-0.9801543157498998	0.997959008217295	-0.28941804760596906	0.828363668588978
bowl	0.6070498685604829	0.5595671299727374	-0.7560929979493373	0.8776772345548978	-0.19749829890449264
Mbs	0.9074653191403041	0.9304688646816963	-0.8029519277713806	-0.27735968623497065	-0.9998009591256072
bt	0.3599861903874687	0.41389858599449936	-0.16254892687399963	-0.8674246450590345	-0.7323662914055893
dac	-0.9734045444490794	-0.9851301706780952	0.9063951794037487	0.07852447189432397	0.9753726960643948
Parp	-0.721390890711601	-0.6796821263016505	0.8472508740327731	-0.7941016401758799	0.34503030051477146
hep	0.4430621483635473	0.4947011912714441	-0.25130840377241326	-0.8187580043053719	-0.7910656645846748
Cyp18a1	0.28660881345269196	0.23012468740279382	-0.47561670032250863	0.9904731604003709	0.16213343397370705
cora	-0.6909474368585329	-0.6475153017058923	0.8236278839965587	-0.8194999344026307	0.30435501602756604
l(2)01289	0.07676120732238856	0.13490368048159168	0.12779250118310312	-0.9738081965656754	-0.5058563164066651
Gug	-0.9029968166614623	-0.9265644220622316	0.7966391538832632	0.28744836624586934	0.9999554860269936
bol	-0.7759928507728349	-0.7378019245608142	0.888133292910848	-0.7413294217432863	0.42118375597878266
Elk	-0.9784654146156697	-0.964728874304742	0.9999957202271251	-0.3526913794358503	0.7891067101420385
wts	0.06127863169363031	0.0028375811024492392	-0.26316053065085127	0.9958420362186774	0.3822412673918367
PhKgamma	0.9981596808237805	0.9929091962565026	-0.9896065019788902	0.21160607485570898	-0.8706790184717975
mtd	0.9999661381957468	0.9987377341933263	-0.977356898376944	0.1438105505530507	-0.9024779889854689
nuf	-0.9089053934061601	-0.8829794992183376	0.9747572679644301	-0.5502679810019888	0.6343087066763806
MAPk-Ak2	0.9784807387152241	0.9888677573661396	-0.9159967819252341	-0.05526256959559192	-0.9699657261494314
Tie	-0.6489467929929931	-0.6033696639062642	0.7902268214623996	-0.8506063302334469	0.2499820895234247
bnl	0.8712217694566563	0.8984230734662891	-0.7530635909557292	-0.35280782965717333	-0.9982260531192007
RtGEF	-0.8322025643366939	-0.7983732368209939	0.9276417152938675	-0.6744861077570157	0.505128376808687
ara	0.8396294661573311	0.8699397534900819	-0.7114932566059439	-0.409271297210983	-0.9927296423542937
wun	0.09355299135278762	0.03520325901558407	-0.2942490600311749	0.9982688157770772	0.35213158350975315
CaMKI	-0.7714095607535156	-0.8072824396331073	0.625735119864503	0.511734669235615	0.9722329545149473
Dyrk2	-0.9989658937531304	-0.9946009219444862	0.9873071085311577	-0.19673028039786927	0.8780524057217538
mspo	-0.9989846373099035	-0.999910059425123	0.9689007713603964	-0.10726622423665452	0.9177295433661122
loco	0.9553750673487666	0.9710066379930337	-0.8752474561232328	-0.14679664092826697	-0.9882162652998282
stumps	0.9035218256567266	0.9270239411170377	-0.797378124678414	-0.28627626187791716	-0.9999431931391151
Pdk1	0.7915277836716198	0.754456343684146	-0.8993517428651429	0.7243091167072494	-0.4437395875200303
JIL-1	0.9950678886235164	0.9991645211018375	-0.9540451295981723	0.05315565872994957	-0.9379319187240963
Dad	0.3333002036521285	0.2776262175709439	-0.5182312089559542	0.9825177632396113	0.11349075770867838
pio	-0.9790651163728182	-0.9654949141905476	1.0	-0.34995220722246595	0.790900441853774
RN-tre	-0.8859957306962885	-0.9115822647562748	0.773063980654628	0.3236824953208762	0.9995904262318912
KrT95D	-0.9132667823969414	-0.8878968767882892	0.9770650746545357	-0.5414022343806958	0.6424530949343896
Atet	0.3340475214232346	0.27838771804950196	-0.5189090392917411	0.9823698688740934	0.11270309254020044
RpL3	0.471929930551578	0.5226514177922692	-0.2825955047406437	-0.7996892093649084	-0.8105063715529366
RhoGEF2	-0.92359782672065	-0.9444250707961905	0.8262299511653922	0.23857108123763915	0.9981943571908739
trio	-0.8973396410502448	-0.8700110400430248	0.9683876317146467	-0.5725662290344985	0.6132484515384585
NK7.1	-0.43398272895781875	-0.4858962259390852	0.24151728728003694	0.8245164650084396	0.7848452735457092
Dbp80	-0.7892536307223073	-0.8237943157432047	0.6477389555527281	0.48701025702665585	0.9785147644891795
Scgdelta	0.12952242567054012	0.07134720019544886	-0.32864359339363036	0.9997434306485459	0.31802940152889525
bab2	-0.7467692973523391	-0.7843642841294952	0.5957598953593884	0.5438891662308627	0.9626779700728524
PlexA	-0.7698648253973777	-0.731248057981089	0.8836530941745546	-0.74777686473265	0.41240435882076953
Gasp	0.998290563474181	1.0	-0.9654949141905476	0.0939222812699308	-0.9229741984828111
gukh	-0.9227098895977988	-0.8986018772997445	0.9818595437623377	-0.5212241246836165	0.6605224721166163
Nipped-B	-0.24161238664091597	-0.29791390930068967	0.03903750019396427	0.9223922413817931	0.6423531620798253
Rip11	0.8611955494602402	0.8894300285201096	-0.7397087740300002	-0.3715135893946382	-0.9968302865865937
goe	-0.5846392694202589	-0.6310568285171286	0.4072633511594671	0.7130371886865207	0.8810005803593471
CG18659	-0.842329325178684	-0.8093891011248638	0.9343997513985123	-0.6606964006487379	0.521026391000873
CG6191	-0.8018367997544478	-0.7655420254992773	0.9066787146551946	-0.7124432797764435	0.4589608646269783
CG8740	0.5537263221346382	0.6014477853001416	-0.3726405607374785	-0.7388911980200814	-0.8625915654971752
obst-B	-0.7433953145594043	-0.7030326942843709	0.8639754920702475	-0.7740443143485406	0.3751836488750832
Ptpmeg2	0.06281242168609855	0.004374321932200573	-0.2646428029912639	0.9959808534683415	0.38082076256340075
Atf3	-0.3062651157604443	-0.36137915599763215	0.10608741327206982	0.8943556712814615	0.6923961026850954
Lnk	-0.3311420385138708	-0.3857246314506326	0.13214628271809223	0.8823074317752618	0.7110927782803538
seq	-0.8725360445759456	-0.8424906546252338	0.9537125785047679	-0.6154582483813138	0.5702678508100227
CG12206	-0.8587818051101537	-0.8872581533169918	0.7365175860769066	0.375900851548625	0.9964428330410885
Proc-R	0.899497403217183	0.8724231266781491	-0.9696016529838	0.5685308167406841	-0.6171222943082044
AdamTS-B	-0.9018491158589765	-0.9255591809291542	0.7950261759449436	0.28999872978979957	0.9999770722105426
pigs	-0.9403059350125177	-0.9188075474668491	0.989894059428992	-0.47925754460847314	0.6961284519962437
CG12075	-0.2932337961695603	-0.23685564261158995	0.4816944840333575	-0.9894961942431466	-0.1552988847245738
CG7766	0.9636076821078221	0.9463366071031437	-0.9978470242502878	0.4106361257394118	-0.7490636045466555
CG1578	0.04688814388679312	0.1051898459289192	0.1574168683287879	-0.980176544915798	-0.47981419241247353
NFAT	0.9974822408254882	0.9999219157519185	-0.9621651630405894	0.08147369230487063	-0.927711552863494
Pdcd4	0.07259382190361106	0.014177795810020176	-0.2740843237145866	0.9968110775019777	0.3717374087807401
Lsd-2	0.47446638763923593	0.42220672523320557	-0.6437107959958962	0.9421470426151441	-0.0408088272518496
CG9220	0.5959142604929388	0.5479605260415727	-0.7468971194057925	0.8842721540740703	-0.18381489268575263
CG7378	0.05435942056849706	-0.004093223474582403	-0.25646774089804913	0.9951867471437581	0.38863654652920276
kek5	-0.4071974097044998	-0.35312012717200575	0.5845806930876608	-0.9646081458155513	-0.03414749198384705
Cyp6v1	0.23319604597037658	0.1759626506084277	-0.4262495494323623	0.9965721626358612	0.21644778519816446
CG17600	0.7972682389739622	0.7606257999619319	-0.9034437882397612	0.717760551490529	-0.4521893177586974
nAChRbeta3	0.9362050094563787	0.9140634758098267	-0.9881432516860854	0.48962926819040214	-0.6875681464469959
daw	-0.6705961441842733	-0.6260931360247084	0.807553275047592	-0.8351055266184905	0.2777724584647612
Rchy1	0.33684533911651043	0.281238979553177	-0.5214455026197262	0.9818103218867175	0.10975162483867124
Tsp	0.2521685804801668	0.1951801628574724	-0.4438587746313547	0.9947637211609663	0.19731368512590516
CG33298	-0.9781663789528474	-0.9643477950891999	0.9999904538766166	-0.3540420322120788	0.7882190250605401
jp	-0.9729952005729245	-0.9578410774324174	0.9996095318410985	-0.37599119859746716	0.7734923456536463
Samuel	0.8360569090727704	0.8025616749571098	-0.9302288939340629	0.6693104646703759	-0.5111470210003297
CG5953	-0.7733858634920584	-0.8091148943057495	0.6281592553797152	0.5090588743254711	0.9729564111361827
CG17549	-0.9011465527014586	-0.9249433521762088	0.7940404381298236	0.2915519477933829	0.9999867473978288
CG9265	-0.041399102959224866	-0.09972436389918307	-0.16284036589552606	0.9812503291160505	0.47498634845459115
scaf	-0.9757331811794326	-0.9868627638044936	0.9107370128905353	0.06815820303735859	0.9730274457784706
SCAP	-0.6532796391544823	-0.6964134457192335	0.4854942538683189	0.6490597488658938	0.9189641927445439
CG14764	0.5060028573457036	0.5555495290259769	-0.3198437385973849	-0.7756294210333369	-0.8327641226762428
CG8170	0.8237974418285702	0.855521407809908	-0.6911635833816903	-0.4351261423436384	-0.9888931102059384
Mmp2	-0.5326641054492264	-0.581218078186467	0.34924533285316417	0.7555613651897882	0.849629773147079
exp	0.5309718189427275	0.48053751517117227	-0.692339814692688	0.918230714590435	-0.10600984276381722
CG17724	0.9724742672280671	0.957193332423328	-0.9995442457965585	0.37807162670382344	-0.7720667432040436
CG8180	-0.9892389830201425	-0.9960991197852742	0.9387486419834291	-0.005704576229249421	0.9533345310416061
CG8405	-0.265922843757261	-0.20912652210569532	0.4565742073237136	-0.9932075067573214	-0.1833336097561455
CG10936	-0.10820611172043633	-0.16612410921529241	-0.09641132559015772	0.9661430526204274	0.532842385651556
Magi	-0.9999542543971431	-0.9976858591163835	0.9809672570544907	-0.16139648126805942	0.8946707396334167
CG4266	0.20996262698724028	0.15246037136855578	-0.4045771818677311	0.9982602199347697	0.23964564725596763
CG10082	0.34340025146351966	0.2879212529740095	-0.5273806111406806	0.980463029823716	0.10282061801492322
Sesn	-0.19171020451630952	-0.1340204352124543	0.38746857911661164	-0.9991854845907284	-0.257692422496565
sona	0.10461248079054558	0.0463082062135427	-0.30485286581925125	0.9988608464901025	0.34170767151512
Eps-15	-0.29225677200798544	-0.3476515492295088	0.09147802141114891	0.9008268429661782	0.6817290244779932
Hipk	0.4745278290339006	0.4222699973105265	-0.6437642097168548	0.9421236435782289	-0.04087856838483515
Iml1	-0.9205459592273321	-0.9418034085321854	0.8217618899114685	0.24622182840921725	0.9986369986434884
CG12004	-0.6823538350270526	-0.7239128092675245	0.5192712812722168	0.6188502875650874	0.9336657403890188
spz5	0.35531714494692346	0.3000774716717736	-0.5381435948925826	0.9778820452043578	0.09016164579527405
slow	-0.9419341305486061	-0.9599500320297729	0.8538641389336419	0.18877207698563067	0.9938363362431328
RhoGEF64C	0.9539530738243014	0.9698536142111952	-0.8729269707337466	-0.1515201778006328	-0.9889361713136032
Pura	-0.36851967397755364	-0.4222224074812729	0.17158313922120183	0.8628290601372265	0.7385746635634988
CG13676	-0.6295072651510514	-0.6738434947345348	0.4581734619374231	0.6723190186741652	0.9063046007670468
