gene	bait	correlation
mRpL10	Cpr57A	-0.8681773305633542
kraken	Cpr57A	-0.8413568532344715
mRpL48	Cpr57A	-0.8607456743988483
NTPase	Cpr57A	-0.8767785153156231
mRpS2	Cpr57A	-0.8311364008269376
mRpL24	Cpr57A	-0.8639358151803062
mRpL28	Cpr57A	-0.861162190415963
mRpL51	Cpr57A	-0.8396079102208998
Trx-2	Cpr57A	-0.8795412154180207
FKBP59	Cpr57A	-0.8245636148735674
nmd	Cpr57A	-0.8581023352035078
RpS27A	Cpr57A	-0.8638638977743879
Myo31DF	Cpr57A	-0.9029001294529528
porin	Cpr57A	-0.8386712971092221
l(2)06225	Cpr57A	-0.8307394232694489
l(2)01810	Cpr57A	-0.9644986031610147
p38b	Cpr57A	-0.8405876727351952
DNApol-gamma35	Cpr57A	-0.824214923284154
mRpL4	Cpr57A	-0.8146019034778341
Cyt-c-p	Cpr57A	-0.8356517380130076
mRpL13	Cpr57A	-0.8735816254417644
l(2)37Bb	Cpr57A	-0.8541689165364251
l(2)37Cc	Cpr57A	-0.8301812885564555
mRpS18B	Cpr57A	-0.8452721324805794
l(2)k14505	Cpr57A	-0.8294644656956428
Ef2b	Cpr57A	-0.8170299359261688
RpL21	Cpr57A	-0.8088029445877746
RpL5	Cpr57A	-0.8420656028120387
Trap1	Cpr57A	-0.8188060681889449
mRpL52	Cpr57A	-0.8627592818005246
l(2)44DEa	Cpr57A	-0.8233574713397632
prel	Cpr57A	-0.8470143963262886
san	Cpr57A	-0.8173295554596725
Tapdelta	Cpr57A	-0.8171630652826373
ox	Cpr57A	-0.8710952910133973
EfTuM	Cpr57A	-0.8318807337720335
Roe1	Cpr57A	-0.8399037881072787
mRpS16	Cpr57A	-0.8558186500006091
opa1-like	Cpr57A	-0.8148947154500857
Hsc70-5	Cpr57A	-0.8292484660972724
Vha36	Cpr57A	-0.8263009906397362
mRpL34	Cpr57A	-0.8463766884463612
Vha44	Cpr57A	-0.8173135800420374
RpS15	Cpr57A	-0.8290358360242027
RpLP2	Cpr57A	-0.8348928409728658
Picot	Cpr57A	-0.9176101442278407
Sod2	Cpr57A	-0.8109538140591218
Pepck	Cpr57A	0.9373800112791114
mRpS28	Cpr57A	-0.8667297624302721
l(2)03709	Cpr57A	-0.8569782540760977
Jheh1	Cpr57A	-0.833201841198194
FK506-bp2	Cpr57A	-0.8154892194006619
Treh	Cpr57A	-0.8442730103620625
Tim10	Cpr57A	-0.8270497120322818
mRpS29	Cpr57A	-0.8357243303331864
bonsai	Cpr57A	-0.8348360155436919
mRpL43	Cpr57A	-0.8569597867281933
Fmo-1	Cpr57A	-0.842957547797311
mRpS17	Cpr57A	-0.8718491981054916
Mtch	Cpr57A	-0.8270377681765307
Gyk	Cpr57A	-0.8395757716302318
Tudor-SN	Cpr57A	-0.8298462867488815
mRpL17	Cpr57A	-0.8207084496834046
Myo61F	Cpr57A	-0.8690284109979
mtacp1	Cpr57A	-0.8183867970574992
l(3)02640	Cpr57A	-0.8575929931821318
mRpL46	Cpr57A	-0.8173379590790105
mRpS35	Cpr57A	-0.8307023598956013
mge	Cpr57A	-0.8248960284033121
mRpS6	Cpr57A	-0.859918486128627
mRpL50	Cpr57A	-0.8516071618722543
Srp19	Cpr57A	-0.8458704884429086
mRpL36	Cpr57A	-0.8255859041104334
SrpRbeta	Cpr57A	-0.8588576973968287
mRpL12	Cpr57A	-0.8252092304688335
Srp68	Cpr57A	-0.8142495241276398
LanB2	Cpr57A	-0.8203225333406543
mRpL2	Cpr57A	-0.8222258104584147
RpL10Ab	Cpr57A	-0.8124522664826386
l(3)neo18	Cpr57A	-0.8311547737320542
eIF-2beta	Cpr57A	-0.8575691936034169
mRpL20	Cpr57A	-0.8709748956363106
RpS12	Cpr57A	-0.8370591794270288
Mpcp	Cpr57A	-0.8223555800720865
mRpL39	Cpr57A	-0.8546966329433368
mRpS31	Cpr57A	-0.8644555600780501
mRpS34	Cpr57A	-0.8557515503075267
Su(P)	Cpr57A	-0.8191050334936003
Int6	Cpr57A	-0.8410859913105936
Prestin	Cpr57A	-0.8668614049428535
Tom20	Cpr57A	-0.8306050309052194
mRpL15	Cpr57A	-0.8621579525379163
RpLP0	Cpr57A	-0.8146561691066021
mRpL44	Cpr57A	-0.8678998439637122
Vha26	Cpr57A	-0.8475699015485368
mRpS9	Cpr57A	-0.8590785390441502
mRpL1	Cpr57A	-0.8670406412594333
mRpS18A	Cpr57A	-0.8653339617799981
mRpL19	Cpr57A	-0.8507423600288511
Rlc1	Cpr57A	-0.8738042860666584
alphaTub85E	Cpr57A	-0.810100424950629
SelR	Cpr57A	-0.8487434739544568
mRpL40	Cpr57A	-0.8413334983137448
mRpS21	Cpr57A	-0.8307717516246181
mRpL11	Cpr57A	-0.8472489007614786
Cys	Cpr57A	-0.8248847926958983
mRpS10	Cpr57A	-0.846814960701361
mRpL9	Cpr57A	-0.8392900745924692
ND23	Cpr57A	-0.8494090315574736
blp	Cpr57A	-0.8729628635266796
mtSSB	Cpr57A	-0.8127523408312977
mRpS11	Cpr57A	-0.8814358874343052
dnk	Cpr57A	-0.8390781436723703
P5cr	Cpr57A	-0.9000743103733553
TFAM	Cpr57A	-0.8398417669456217
RpS20	Cpr57A	-0.8251330542460534
ND42	Cpr57A	-0.8148356659630931
mRpL45	Cpr57A	-0.8381181189143979
Gclm	Cpr57A	-0.839871437657514
sec13	Cpr57A	-0.8628331470405372
mRpS24	Cpr57A	-0.8083458601367932
Rpb10	Cpr57A	-0.8371023658537579
RpL27	Cpr57A	-0.9074797557132943
RpL34a	Cpr57A	-0.8634901210558376
mRpS22	Cpr57A	-0.8376894142014296
eIF2B-alpha	Cpr57A	-0.9122593524279368
l(3)03670	Cpr57A	-0.8197591644862247
ferrochelatase	Cpr57A	-0.8376143994164683
RpL36	Cpr57A	-0.8321575140663628
mRpL16	Cpr57A	-0.8343475402310992
bcn92	Cpr57A	-0.8638352885378149
mRpL14	Cpr57A	-0.8220780136186134
eIF2B-beta	Cpr57A	-0.8865044458893875
mRpL30	Cpr57A	-0.8641709006337773
Pink1	Cpr57A	0.9270292412515165
inx7	Cpr57A	-0.9186571160447564
Tom40	Cpr57A	-0.8510724686503208
Trxr-1	Cpr57A	-0.8360773546534701
sesB	Cpr57A	-0.8394552132282543
Tim8	Cpr57A	-0.8323857603126571
mRpL49	Cpr57A	-0.8399250431566477
Jafrac1	Cpr57A	-0.8754953018617176
Tim9a	Cpr57A	-0.8766454116119561
mRpL38	Cpr57A	-0.8537916196314826
mRpS25	Cpr57A	-0.8557036462701783
mRpL3	Cpr57A	-0.8289632148342885
mRpS30	Cpr57A	-0.8441535799940174
mRpL22	Cpr57A	-0.8597781621976016
galectin	Alas	-0.9171321321738214
M(2)21AB	Alas	0.9222456973588165
Gs1	Alas	-0.8144308101443573
CG11912	Alas	-0.9003001355064058
Ent1	Alas	-0.8731577461784013
crq	Alas	-0.8706382656253614
Atg4	Alas	-0.8757152490793966
CG4552	Alas	-0.8629919648162196
Plap	Alas	-0.8154415106348553
CG5126	Alas	-0.8785464462525929
RFeSP	Alas	0.9342699791539402
cpb	Alas	-0.9092835051407626
Got2	Alas	0.9487308431145017
Uch	Alas	-0.8841092949751377
Rab5	Alas	-0.8149346667199973
CG3214	Alas	0.9468528970639774
Pgk	Alas	0.9260314932233581
Taf10b	Alas	-0.8641269756333726
Taf10	Alas	-0.840398979180208
CG2774	Alas	-0.8556304213023361
CG3246	Alas	0.933535957362206
Pdsw	Alas	0.9381604969261487
CG3714	Alas	-0.8136478955741722
l(2)k05819	Alas	-0.869097062154782
CG15440	Alas	-0.8468979356452426
CG34125	Alas	-0.8406149151888915
Rpn11	Alas	-0.8753947367189806
CG5828	Alas	-0.8960962465533432
cype	Alas	0.9417539255669353
Oscillin	Alas	-0.9229628926967426
chic	Alas	-0.8733373758738782
CG9135	Alas	-0.8861329230055971
CG9526	Alas	-0.8793426618911404
CG9547	Alas	0.9699113737812753
CG11015	Alas	0.9195464554603807
CG9232	Alas	0.9723950358065324
CG13779	Alas	-0.8429712429418127
CG5958	Alas	-0.9611516925955492
pes	Alas	-0.8101006682438998
poe	Alas	-0.8164845540886141
CG8475	Alas	-0.8154270583264983
Su(var)205	Alas	-0.8373459992260672
CG8372	Alas	-0.847683557506269
Snx6	Alas	-0.8808557744040266
Pvr	Alas	-0.8250937069598282
Tsp29Fa	Alas	-0.8928823968718221
alien	Alas	-0.8346489745264541
Gdi	Alas	-0.8673563670961452
zf30C	Alas	-0.8360835544243378
CG4658	Alas	-0.8751374343205549
CG5850	Alas	-0.9035416892649143
CG34159	Alas	-0.8637008362571255
Pros35	Alas	-0.8822837750504744
me31B	Alas	-0.8514536112542878
CG5676	Alas	-0.8672606215969187
Rsf1	Alas	-0.8474335276202946
CG18619	Alas	-0.8606176442910357
CG4968	Alas	-0.8169801025520697
CG5384	Alas	-0.8298613119188784
